1,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,NEUTRAL,4.5,A_neutral_B,B_neutral_A,A group of children playing in a yard a man in the background.,A group of children playing in a yard a man in the background.,FLICKR,FLICKR,TRAIN,A:kids,A:old,B:boys,
1642,A car is riskily jumping over a girl,The girl is recklessly jumping onto a car,NEUTRAL,3.4,A_neutral_B,B_neutral_A,A girl is jumping onto a car.,A girl is jumping onto a car.,SEMEVAL,SEMEVAL,TEST,A:riskily,A:over,B:recklessly,B:onto,
1648,A girl is on a jumping car,The girl is recklessly jumping onto a car,NEUTRAL,4,A_neutral_B,B_neutral_A,A girl is jumping onto a car.,A girl jumps on a car.,SEMEVAL,SEMEVAL,TRAIN,A:on,B:recklessly,B:onto,
1651,A car is riskily jumping over a girl,One girl is jumping on the car,NEUTRAL,2.9,A_neutral_B,B_neutral_A,A girl jumps on a car.,A girl is jumping onto a car.,SEMEVAL,SEMEVAL,TRAIN,A:riskily,A:over,B:One,B:on,
1655,A woman is throwing a potato peel,One woman is peeling a potato,NEUTRAL,3.6,A_neutral_B,B_neutral_A,A woman is peeling a potato.,A woman is peeling a potato.,SEMEVAL,SEMEVAL,TRAIN,A:throwing,A:peel,B:One,B:peeling,
1682,The man is pouring some oil on the tomatoes,Somebody is pouring tomato oil on the man,NEUTRAL,2.4,A_neutral_B,B_neutral_A,The man poured oil on the cut tomatoes.,The man poured oil on the cut tomatoes.,SEMEVAL,SEMEVAL,TRAIN,A:some,A:tomatoes,B:Somebody,B:tomato,
1685,The man is pouring oil on a few tomatoes,Somebody is pouring tomato oil on the man,NEUTRAL,3.1,A_neutral_B,B_neutral_A,A man pours oil on some tomatos.,The man poured oil on the cut tomatoes.,SEMEVAL,SEMEVAL,TEST,A:few,A:tomatoes,B:Somebody,B:tomato,
1699,A kitten is drinking fresh milk,The cat is drinking some milk,NEUTRAL,4.2,A_neutral_B,B_neutral_A,A kitten is drinking milk.,A cat is drinking milk.,SEMEVAL,SEMEVAL,TEST,A:kitten,A:fresh,B:cat,B:some,
1714,A man is eating onion slices,A man is slicing an onion,NEUTRAL,3.7,A_neutral_B,B_neutral_A,A man cuts an onion.,A man cuts an onion.,SEMEVAL,SEMEVAL,TRAIN,A:eating,A:slices,B:slicing,
1745,A man is pushing the buttons of a microwave,A man is being pushed toward the buttons of a microwave,NEUTRAL,2.8,A_neutral_B,B_neutral_A,A man is pressing microwave buttons.,A man is pressing microwave buttons.,SEMEVAL,SEMEVAL,TEST,A:pushing,B:being,B:pushed,B:toward,
1767,The play is about a happy boy playing the piano,A boy is happily playing the piano,NEUTRAL,2.8,A_neutral_B,B_neutral_A,A boy is playing the piano.,A boy is playing the piano.,SEMEVAL,SEMEVAL,TEST,A:play,A:about,A:happy,B:happily,
1770,The piano player is being a tough man,A piano is being played by a man,NEUTRAL,3.4,A_neutral_B,B_neutral_A,A man is playing a piano.,A man is playing a piano.,SEMEVAL,SEMEVAL,TEST,A:player,A:tough,B:played,B:by,
1831,Some sliced tofu is being eaten by a woman,Tofu is being sliced by a woman,NEUTRAL,3.5,A_neutral_B,B_neutral_A,A woman is slicing tofu.,A woman is slicing tofu.,SEMEVAL,SEMEVAL,TEST,A:Some,A:tofu,A:eaten,B:Tofu,
1853,A man is removing the butter from a piece of bread which is big,A man is spreading butter on a piece of bread which is big,NEUTRAL,4.1,A_neutral_B,B_neutral_A,A man spreads butter on a big piece of bread.,A man spreads butter on a big piece of bread.,SEMEVAL,SEMEVAL,TRAIN,A:removing,A:from,B:spreading,B:on,
1890,A man is passionately playing a guitar,The guitar player loves the man passionately,NEUTRAL,2.5,A_neutral_B,B_neutral_A,A man is playing a guitar and singing.,A man is playing a guitar and singing.,SEMEVAL,SEMEVAL,TEST,A:is,A:playing,B:player,B:loves,
1914,The man is driving a car,The driver's car is parked by a man,NEUTRAL,3.4,A_neutral_B,B_neutral_A,A man is driving a car.,A man is driving a car.,SEMEVAL,SEMEVAL,TEST,A:driving,B:driver's,B:parked,B:by,
1955,The singer is leaving the band,The band is singing ,NEUTRAL,2.9,A_neutral_B,B_neutral_A,A band is singing.,A band is singing.,SEMEVAL,SEMEVAL,TRAIN,A:singer,A:leaving,B:singing,
1990,A girl is playing the guitar,The guitar player is loving one girl,NEUTRAL,2.8,A_neutral_B,B_neutral_A,The girl is playing the guitar.,The girl is playing the guitar.,SEMEVAL,SEMEVAL,TEST,A:playing,B:player,B:loving,B:one,
1993,The man is intensely playing the guitar,The intense man is a guitar player,NEUTRAL,3.7,A_neutral_B,B_neutral_A,The man is playing the guitar.,The man is playing the guitar.,SEMEVAL,SEMEVAL,TRAIN,A:intensely,A:playing,B:intense,B:player,
1994,A girl is playing the guitar,One man is intensely playing a guitar,NEUTRAL,3.2,A_neutral_B,B_neutral_A,The girl is playing the guitar.,The man is playing the guitar.,SEMEVAL,SEMEVAL,TRAIN,A:girl,B:One,B:man,B:intensely,
1997,A young woman is playing the guitar,The man is intensely playing the guitar,NEUTRAL,3.4,A_neutral_B,B_neutral_A,The man is playing the guitar.,The girl is playing the guitar.,SEMEVAL,SEMEVAL,TEST,A:young,A:woman,B:man,B:intensely,
1998,A girl is not playing the guitar,The man is intensely playing the guitar,NEUTRAL,3.4,A_neutral_B,B_neutral_A,The man is playing the guitar.,The girl is playing the guitar.,SEMEVAL,SEMEVAL,TEST,A:girl,A:not,B:man,B:intensely,
2000,A girl is playing the guitar,The man is intensely playing the guitar,NEUTRAL,3.7,A_neutral_B,B_neutral_A,The girl is playing the guitar.,The man is playing the guitar.,SEMEVAL,SEMEVAL,TRAIN,A:girl,B:man,B:intensely,
2006,A man is riding a motorbike,A motorbike rider is running over a man ,NEUTRAL,3.1,A_neutral_B,B_neutral_A,A man is riding a motorcycle.,A man is riding a motorcycle.,SEMEVAL,SEMEVAL,TRAIN,A:riding,B:rider,B:running,B:over,
2032,The practicing person doesn't like the guitar,The person is practicing the guitar,NEUTRAL,3.3,A_neutral_B,B_neutral_A,A man is playing guitar.,A man is playing guitar.,SEMEVAL,SEMEVAL,TEST,A:doesn't,A:like,B:is,
2090,The interviewer is granting a break to the man,The man is granting an interview,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A man is giving an interview.,A man is giving an interview.,SEMEVAL,SEMEVAL,TRAIN,A:interviewer,A:break,A:to,B:interview,
2103,A man is being roped by a climber,A rope is being climbed by a man,NEUTRAL,3.3,A_neutral_B,B_neutral_A,A man is climbing a rope.,A man is climbing a rope.,SEMEVAL,SEMEVAL,TRAIN,A:roped,A:climber,B:rope,B:climbed,
2105,A man is removing a carrot from a machine,A man is slicing the carrot with a machine,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A man is slicing a carrot by a machine.,A man is slicing a carrot by a machine.,SEMEVAL,SEMEVAL,TRAIN,A:removing,A:from,B:slicing,B:with,
2130,A small boy is scolding a dog,A small boy is playing with a dog,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a small boy is playing with a dog,a small boy is playing with a dog,SEMEVAL,SEMEVAL,TRIAL,A:scolding,B:playing,B:with,
2131,A baby is playing with a dog ,The small boy is playing with the dog,NEUTRAL,4.2,A_neutral_B,B_neutral_A,a baby is playing with a dog,a small boy is playing with a dog,SEMEVAL,SEMEVAL,TEST,A:baby,B:small,B:boy,
2133,A baby is cheerfully playing with a dog,A small boy is playing with a dog,NEUTRAL,4.5,A_neutral_B,B_neutral_A,a baby is playing with a dog,a small boy is playing with a dog,SEMEVAL,SEMEVAL,TEST,A:baby,A:cheerfully,B:small,B:boy,
2135,A small boy is playing with a dog,A baby is playing with a dog ,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a baby is playing with a dog,a small boy is playing with a dog,SEMEVAL,SEMEVAL,TEST,A:small,A:boy,B:baby,
2138,A potato peel is falling over a woman,A woman is peeling a potato,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a woman is peeling potato,a woman is peeling potato,SEMEVAL,SEMEVAL,TEST,A:peel,A:falling,A:over,B:peeling,
2150,A man is taking pictures of a lake,A man is tearing up the pictures of a lake,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a man is taking pictures of a lake,a man is taking pictures of a lake,SEMEVAL,SEMEVAL,TRAIN,A:taking,B:tearing,B:up,
2169,A woman is using a sewing machine,A woman is unstitching with a machine,NEUTRAL,4.05,A_neutral_B,B_neutral_A,a woman is using a sewing machine,a woman is sewing on a machine,SEMEVAL,SEMEVAL,TEST,A:using,A:sewing,B:unstitching,B:with,
2216,Someone is falling off a horse,Someone is on a horse,NEUTRAL,3.8,A_neutral_B,B_neutral_A,someone fell off a horse,someone fell off a horse,SEMEVAL,SEMEVAL,TEST,A:falling,A:off,B:on,
2217,Someone is falling off a horse,A horse is falling on someone,NEUTRAL,2.9,A_neutral_B,B_neutral_A,someone fell off a horse,someone fell off a horse,SEMEVAL,SEMEVAL,TRAIN,A:Someone,A:off,B:on,B:someone,
2232,A woman is tapping her fingers on a table,A woman is tapping her fingers nervously,NEUTRAL,4.4,A_neutral_B,B_neutral_A,a woman is tapping her fingers,a woman is tapping her fingers on a table,SEMEVAL,SEMEVAL,TRAIN,A:on,A:table,B:nervously,
2239,A boy is knocking a dog with a bottle of water,The dog is knocking a boy into the water,NEUTRAL,2.85,A_neutral_B,B_neutral_A,a dog knocks a boy into the water twice,a dog knocks a boy into the water twice,SEMEVAL,SEMEVAL,TRAIN,A:with,A:bottle,A:of,B:into,
2259,The person is playing the flute,A man is playing the guitar,NEUTRAL,2.6,A_neutral_B,B_neutral_A,a man is playing the guitar,a man is playing the flute,SEMEVAL,SEMEVAL,TRAIN,A:person,A:flute,B:man,B:guitar,
2261,A man is strumming the guitar,The man is playing the flute,NEUTRAL,2.5,A_neutral_B,B_neutral_A,a man is playing the flute,a man is playing the guitar,SEMEVAL,SEMEVAL,TRAIN,A:strumming,A:guitar,B:playing,B:flute,
2269,The woman is not adding sugar to the meat,A woman is adding spices to some meat,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a woman is adding spices on a meat,woman is adding sugar to meat,SEMEVAL,SEMEVAL,TEST,A:not,A:sugar,B:spices,B:some,
2270,A woman is adding spices to some meat,The woman is adding sugar to the meat,NEUTRAL,4.1,A_neutral_B,B_neutral_A,woman is adding sugar to meat,a woman is adding spices on a meat,SEMEVAL,SEMEVAL,TEST,A:spices,A:some,B:sugar,
2278,A dog is closing a can of food,A dog is biting a can,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a dog biting on a can,a dog opens a can of food,SEMEVAL,SEMEVAL,TEST,A:closing,A:of,A:food,B:biting,
2301,A woman is wakeboarding on a lake,A woman is watching the lake,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a woman is wake boarding on a lake,a woman is wake boarding on a lake,SEMEVAL,SEMEVAL,TEST,A:wakeboarding,A:on,B:watching,
2307,The woman is waterskiing,A woman is watching the lake,NEUTRAL,3.5,A_neutral_B,B_neutral_A,the woman is waterskiing,a woman is wake boarding on a lake,SEMEVAL,SEMEVAL,TRAIN,A:waterskiing,B:watching,B:lake,
2308,The woman is waterskiing,A woman is wakeboarding on a lake,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a woman is wake boarding on a lake,the woman is waterskiing,SEMEVAL,SEMEVAL,TRAIN,A:waterskiing,B:wakeboarding,B:on,B:lake,
2327,A person is eating a cut onion,A person is cutting an onion,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a person is cutting an onion,a person is cutting an onion,SEMEVAL,SEMEVAL,TRAIN,A:eating,A:cut,B:cutting,
2330,A person is cutting an onion,A person is eating a cut onion,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a person cuts an onion,a person is cutting an onion,SEMEVAL,SEMEVAL,TRAIN,A:cutting,B:eating,B:cut,
2332,A person is wrapping up an onion,A person is cutting an onion,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a person is cutting an onion,a person cuts an onion,SEMEVAL,SEMEVAL,TRAIN,A:wrapping,A:up,B:cutting,
2385,A person is cutting an onion into pieces,A person is slicing a carrot into pieces,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a person is cutting an onion into pieces,a person is slicing a carrot into pieces,SEMEVAL,SEMEVAL,TRIAL,A:cutting,A:onion,B:slicing,B:carrot,
2386,The man is slicing a potato,The person is carefully slicing a potato,NEUTRAL,4.2,A_neutral_B,B_neutral_A,the man is slicing a potato,the man is slicing a potato,SEMEVAL,SEMEVAL,TRAIN,A:man,B:person,B:carefully,
2388,The man is cooking slices of potato,The man is slicing a potato,NEUTRAL,3.7,A_neutral_B,B_neutral_A,the man is slicing a potato,the man is slicing a potato,SEMEVAL,SEMEVAL,TRAIN,A:cooking,A:slices,A:of,B:slicing,
2393,The person is carefully slicing a potato,The man is slicing the potato,NEUTRAL,4.3,A_neutral_B,B_neutral_A,a man is slicing potato,the man is slicing a potato,SEMEVAL,SEMEVAL,TEST,A:person,A:carefully,B:man,
2395,The man is cooking slices of potato,The man is slicing the potato,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a man is slicing potato,the man is slicing a potato,SEMEVAL,SEMEVAL,TEST,A:cooking,A:slices,A:of,B:slicing,
2407,A man is cleaning a dish,A man is preparing some dish,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a man is preparing some dish,a man is preparing some dish,SEMEVAL,SEMEVAL,TRAIN,A:cleaning,B:preparing,B:some,
2431,A man is running,There is no man running down the road,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a man is running,a man is running down a road,SEMEVAL,SEMEVAL,TRAIN,B:There,B:no,B:down,B:road,
2432,A man is racing,A man is running down the road,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a man is running down a road,a man is running,SEMEVAL,SEMEVAL,TEST,A:racing,B:running,B:down,B:road,
2444,A man at the keyboard is playing with his nose,The man is playing the piano with his nose,NEUTRAL,3.5,A_neutral_B,B_neutral_A,the man is playing the piano with his nose,a man plays the keyboard with his nose,SEMEVAL,SEMEVAL,TEST,A:at,A:keyboard,B:piano,
2482,The man is not playing a guitar,A man is playing a trumpet,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a man is playing a trumpet,a man is playing a guitar,SEMEVAL,SEMEVAL,TEST,A:not,A:guitar,B:trumpet,
2492,A man is speaking,One man is dancing,NEUTRAL,2.3,A_neutral_B,B_neutral_A,a man is speaking,a man is dancing,SEMEVAL,SEMEVAL,TEST,A:speaking,B:One,B:dancing,
2500,One panda is climbing,A man is climbing a rope,NEUTRAL,1.6,A_neutral_B,B_neutral_A,a man is climbing a rope,a panda is climbing,SEMEVAL,SEMEVAL,TRAIN,A:One,A:panda,B:man,B:rope,
2502,A man is carefully climbing a rope,A panda is climbing,NEUTRAL,1.6,A_neutral_B,B_neutral_A,a panda is climbing,a man is climbing a rope,SEMEVAL,SEMEVAL,TEST,A:man,A:carefully,A:rope,B:panda,
2505,A panda is climbing,A man is climbing a rope,NEUTRAL,1.6,A_neutral_B,B_neutral_A,a man is climbing a rope,a panda is climbing,SEMEVAL,SEMEVAL,TRAIN,A:panda,B:man,B:rope,
2514,There is no woman dancing in a cage,The woman is dancing,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a woman is dancing,a woman is dancing in a cage,SEMEVAL,SEMEVAL,TRAIN,A:There,A:no,A:in,A:cage,
2544,The person is slicing a vegetable,Nobody is slicing a tomato,NEUTRAL,3.1,A_neutral_B,B_neutral_A,someone is slicing a vegetable,someone is slicing a tomato,SEMEVAL,SEMEVAL,TRIAL,A:person,A:vegetable,B:Nobody,B:tomato,
2558,Someone is putting the guitar away,Someone is playing the guitar,NEUTRAL,3.4,A_neutral_B,B_neutral_A,someoen is playing guitar,someoen is playing guitar,SEMEVAL,SEMEVAL,TEST,A:putting,A:away,B:playing,
2562,A man is packing a guitar,Someone is playing the guitar,NEUTRAL,3.1,A_neutral_B,B_neutral_A,someoen is playing guitar,a man is playing a guitar,SEMEVAL,SEMEVAL,TEST,A:man,A:packing,B:Someone,B:playing,
2567,Three women are standing still,Three women are dancing,NEUTRAL,2.8,A_neutral_B,B_neutral_A,three women are dancing,three women are dancing,SEMEVAL,SEMEVAL,TEST,A:standing,A:still,B:dancing,
2580,There is no man playing a bamboo flute,The man is playing a flute,NEUTRAL,4.2,A_neutral_B,B_neutral_A,a man is playing a flute,a man is playing a bamboo flute,SEMEVAL,SEMEVAL,TEST,A:There,A:no,A:bamboo,
2596,A tiger is walking around with no aim,A tiger is walking around a cage,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a tiger is walking around his cage,a tiger walks around aimlessly,SEMEVAL,SEMEVAL,TRAIN,A:with,A:no,A:aim,B:cage,
2599,A tiger is walking around aimlessly,A tiger is pacing around a cage,NEUTRAL,4.4,A_neutral_B,B_neutral_A,a tiger walks around aimlessly,a tiger is walking around his cage,SEMEVAL,SEMEVAL,TRAIN,A:walking,A:aimlessly,B:pacing,B:cage,
2600,A tiger is walking outside a cage,A tiger is walking around aimlessly,NEUTRAL,3.7,A_neutral_B,B_neutral_A,a tiger walks around aimlessly,a tiger is walking around his cage,SEMEVAL,SEMEVAL,TEST,A:outside,A:cage,B:around,B:aimlessly,
2624,A man is dancing with a worn hard hat,A man is wearing a hard hat and dancing,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a man wearing a hard hat is dancing,a man wearing a hard hat is dancing,SEMEVAL,SEMEVAL,TEST,A:with,A:worn,B:wearing,B:and,
2634,Two boys are studying,Two boys are playing a video game,NEUTRAL,2.6,A_neutral_B,B_neutral_A,two boys are playing a video game,two boys are playing a video game,SEMEVAL,SEMEVAL,TRAIN,A:studying,B:playing,B:video,B:game,
2652,The man is slicing vegetables,A woman is slicing a potato,NEUTRAL,3,A_neutral_B,B_neutral_A,a woman is slicing a potato,a man is slicing vegetables,SEMEVAL,SEMEVAL,TEST,A:man,A:vegetables,B:woman,B:potato,
2676,A man is parking a car in a garage,A man is getting into a car in a garage,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a man is getting into a car in a garage,a man is getting into a car in a garage,SEMEVAL,SEMEVAL,TEST,A:parking,B:getting,B:into,
2677,A man is getting into a car in a garage,A man is getting a garage for the car,NEUTRAL,3,A_neutral_B,B_neutral_A,a man is getting into a car in a garage,a man is getting into a car in a garage,SEMEVAL,SEMEVAL,TEST,A:into,A:in,B:for,
2680,A man is getting a garage for the car,A man is getting into a car,NEUTRAL,2.7,A_neutral_B,B_neutral_A,a man is getting into a car,a man is getting into a car in a garage,SEMEVAL,SEMEVAL,TRAIN,A:garage,A:for,B:into,
2705,A woman is drying noodles,A woman is boiling noodles in water,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a woman is boiling noodles in water,a woman is boiling noodles in water,SEMEVAL,SEMEVAL,TRAIN,A:drying,B:boiling,B:in,B:water,
2707,A woman is drying noodles,A person is boiling noodles,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a person is boiling noodles,a woman is boiling noodles in water,SEMEVAL,SEMEVAL,TRAIN,A:woman,A:drying,B:person,B:boiling,
2741,The woman is playing an electric guitar,A man is playing an acoustic guitar,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a man is playing an acoustic guitar,a woman is playing an electric guitar,SEMEVAL,SEMEVAL,TRAIN,A:woman,A:electric,B:man,B:acoustic,
2764,A man and a woman are eating,A man and a woman are having a conversation,NEUTRAL,2.8,A_neutral_B,B_neutral_A,a man and woman is eating,a man and woman are talking,SEMEVAL,SEMEVAL,TRAIN,A:eating,B:having,B:conversation,
2766,A man and woman are talking,A man and a woman are eating happily,NEUTRAL,2.6,A_neutral_B,B_neutral_A,a man and woman are talking,a man and woman is eating,SEMEVAL,SEMEVAL,TRIAL,A:talking,B:eating,B:happily,
2767,A man and woman are talking,A man and a woman are not eating,NEUTRAL,3,A_neutral_B,B_neutral_A,a man and woman are talking,a man and woman is eating,SEMEVAL,SEMEVAL,TEST,A:talking,B:not,B:eating,
2778,A person is pouring cooking oil into a pot,A person is pouring olive oil into the stove from a pot,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a person pours cooking oil into a pot,a person is pouring olive oil into a pot on the stove,SEMEVAL,SEMEVAL,TRAIN,A:cooking,B:olive,B:stove,B:from,
2781,A woman is walking the dog down the street,A woman is restraining the dog,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a woman walks her dog down the street,a woman walks her dog down the street,SEMEVAL,SEMEVAL,TEST,A:walking,A:down,A:street,B:restraining,
2808,A plane is taking off,A plane is landing,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a plane is landing,a plane is landing,SEMEVAL,SEMEVAL,TEST,A:taking,A:off,B:landing,
2818,A woman is preparing a skillet for the eggs,A woman is preparing an egg in a skillet,NEUTRAL,3.7,A_neutral_B,B_neutral_A,a woman is preparing an egg in a skillet,a woman is preparing an egg in a skillet,SEMEVAL,SEMEVAL,TRAIN,A:for,A:eggs,B:egg,B:in,
2849,A woman is cooking eggs,The woman is lovingly cooking something,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a woman is cooking eggs,a woman is cooking something,SEMEVAL,SEMEVAL,TEST,A:eggs,B:lovingly,B:something,
2852,There is no woman cooking eggs,The woman is cooking something,NEUTRAL,3,A_neutral_B,B_neutral_A,a woman is cooking something,a woman is cooking eggs,SEMEVAL,SEMEVAL,TEST,A:There,A:no,A:eggs,B:something,
2866,Two people are stopping on a motorcycle,Two people are riding a motorcycle,NEUTRAL,3.465,A_neutral_B,B_neutral_A,two people are riding a motorcycle,two people are riding a motorcycle,SEMEVAL,SEMEVAL,TEST,A:stopping,A:on,B:riding,
2867,Two people are riding a bike,Two people are driving a motorcycle,NEUTRAL,3.7,A_neutral_B,B_neutral_A,two people are riding a bike,two people are riding a motorcycle,SEMEVAL,SEMEVAL,TRAIN,A:riding,A:bike,B:driving,B:motorcycle,
2882,A woman is playing a flute,A woman is putting down a flute,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a woman is playing a flute,a woman is playing a flute,SEMEVAL,SEMEVAL,TEST,A:playing,B:putting,B:down,
2897,The man is lifting weights,The man is lowering barbells,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a man lifts weights,the man lifted barbells,SEMEVAL,SEMEVAL,TEST,A:lifting,A:weights,B:lowering,B:barbells,
2902,A man is cutting a tree with an axe,A man is watering a tree,NEUTRAL,2.6,A_neutral_B,B_neutral_A,a man cut a tree with an axe,a man cut a tree with an axe,SEMEVAL,SEMEVAL,TEST,A:cutting,A:with,A:axe,B:watering,
2925,A herd of deer is crossing the street,The herd of caribous is crossing a road,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a herd of deer are crossing the street,a herd of caribou are crossing a road,SEMEVAL,SEMEVAL,TEST,A:deer,A:street,B:caribous,B:road,
2930,The woman is dicing a carrot,A woman is slicing an onion,NEUTRAL,2.5,A_neutral_B,B_neutral_A,a woman is slicing an onion,a woman is cutting a carrot,SEMEVAL,SEMEVAL,TRAIN,A:dicing,A:carrot,B:slicing,B:onion,
2934,The woman is cutting a carrot,A woman is slicing an onion,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a woman is slicing an onion,a woman is cutting a carrot,SEMEVAL,SEMEVAL,TEST,A:cutting,A:carrot,B:slicing,B:onion,
2936,Two men are fighting in a cattle pen,Two men are outside a cattle pen,NEUTRAL,3,A_neutral_B,B_neutral_A,two men are fighting in a cattle pen,two men are fighting in a cattle pen,SEMEVAL,SEMEVAL,TRIAL,A:fighting,A:in,B:outside,
2945,Two men are fighting in a cow pasture,Two men are fighting in a cattle pen,NEUTRAL,4,A_neutral_B,B_neutral_A,two men are fighting in a cow pasture,two men are fighting in a cattle pen,SEMEVAL,SEMEVAL,TRAIN,A:cow,A:pasture,B:cattle,B:pen,
2970,A big green ball is knocking a potato,A large green ball is missing a potato,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a big green ball knocks a potato over,a large green ball hits a potato,SEMEVAL,SEMEVAL,TRAIN,A:big,A:knocking,B:large,B:missing,
2973,A large green ball is hitting a potato,A big potato is knocking a green ball,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a large green ball hits a potato,a big green ball knocks a potato over,SEMEVAL,SEMEVAL,TEST,A:large,A:hitting,B:big,B:knocking,
2976,Different teams are playing football on a field,Different teams are resting on a field,NEUTRAL,3.4,A_neutral_B,B_neutral_A,different sets of teams are playing football on a field,different sets of teams are playing football on a field,SEMEVAL,SEMEVAL,TRAIN,A:playing,A:football,B:resting,
2999,A man is playing a guitar,A woman is playing a guitar which is electric,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a man is playing a guitar,a woman is playing an electric guitar,SEMEVAL,SEMEVAL,TEST,A:man,B:woman,B:which,B:electric,
3003,A woman is playing an electric guitar,A man is playing a guitar,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a man is playing a guitar,a woman is playing an electric guitar,SEMEVAL,SEMEVAL,TEST,A:woman,A:electric,B:man,
3028,Some boys are playing on a trampoline,Some children are jumping on a trampoline,NEUTRAL,4.4,A_neutral_B,B_neutral_A,some children are jumping on trampoline,two boy are playing on a trampoline,SEMEVAL,SEMEVAL,TEST,A:boys,A:playing,B:children,B:jumping,
3046,A man is jumping a wall,A man is jumping onto a wall which is low,NEUTRAL,3.7,A_neutral_B,B_neutral_A,a man is jumping a wall,a man jumps onto a short wall,SEMEVAL,SEMEVAL,TRAIN,B:onto,B:which,B:low,
3048,A man is athletically jumping a wall,A man is jumping onto a low wall,NEUTRAL,4,A_neutral_B,B_neutral_A,a man jumps onto a short wall,a man is jumping a wall,SEMEVAL,SEMEVAL,TEST,A:athletically,B:onto,B:low,
3076,A person is ruffling the fur of a cat,A person is brushing a cat,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a person is brushing a cat,a person is combing a cat hair,SEMEVAL,SEMEVAL,TEST,A:ruffling,A:fur,A:of,B:brushing,
3084,The woman is slicing garlic,A woman is chopping broccoli,NEUTRAL,2.9,A_neutral_B,B_neutral_A,a woman is chopping broccoli,a woman is chopping garlic,SEMEVAL,SEMEVAL,TEST,A:slicing,A:garlic,B:chopping,B:broccoli,
3085,A woman is chopping broccoli,The woman is not chopping garlic,NEUTRAL,3.1,A_neutral_B,B_neutral_A,a woman is chopping garlic,a woman is chopping broccoli,SEMEVAL,SEMEVAL,TRAIN,A:broccoli,B:not,B:garlic,
3087,A woman is storing broccoli,The woman is chopping garlic,NEUTRAL,2.4,A_neutral_B,B_neutral_A,a woman is chopping garlic,a woman is chopping broccoli,SEMEVAL,SEMEVAL,TEST,A:storing,A:broccoli,B:chopping,B:garlic,
3094,Some women are dancing,The men are not dancing,NEUTRAL,3,A_neutral_B,B_neutral_A,women are dancing,three men are dancing,SEMEVAL,SEMEVAL,TRAIN,A:Some,A:women,B:men,B:not,
3097,Three men are dancing,Some women are dancing,NEUTRAL,3.5,A_neutral_B,B_neutral_A,three men are dancing,women are dancing,SEMEVAL,SEMEVAL,TRAIN,A:Three,A:men,B:Some,B:women,
3130,A baby is sneezing and scaring another baby,A baby is cheering another baby,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a baby sneezed and scared another baby,a baby sneezed and scared another baby,SEMEVAL,SEMEVAL,TRAIN,A:sneezing,A:and,A:scaring,B:cheering,
3132,A baby is crawling happily,A baby is cheering another baby,NEUTRAL,2.7,A_neutral_B,B_neutral_A,a baby is crawling happily,a baby sneezed and scared another baby,SEMEVAL,SEMEVAL,TRAIN,A:crawling,A:happily,B:cheering,B:another,
3152,A man is kicking a soccer ball,A man is running away from the soccer ball,NEUTRAL,3,A_neutral_B,B_neutral_A,a man is kicking a soccer ball,a man is performing tricks with a soccer ball,SEMEVAL,SEMEVAL,TEST,A:kicking,B:running,B:away,B:from,
