ID	Sentence A	Sentence B	Predicted BERT	SICK Label
4217	The football isn't between the feet of a boy who is lying in the grass.	The football isn't between the feet of a boy who is lying in the grass.	C	E
4220	The furry brown dog is not running through the grassy area.	The furry brown dog is not running through the grassy area.	C	E
4225	The girl has red hair and eyebrows, several piercings in a ear and no tattoo on the back.	The girl has red hair and eyebrows, several piercings in a ear and no tattoo on the back.	C	E
4227	The girl in a dyed red shirt isn't blowing a bubble.	The girl in a dyed red shirt isn't blowing a bubble.	C	E
4232	The girl in the blue and white uniform isn't cheering.	The girl in the blue and white uniform isn't cheering.	C	E
4242	The girl is not carrying a sign and no group of people is following her.	The girl is not carrying a sign and no group of people is following her.	C	E
4243	The girl is not using an eye pencil on her eyelid.	The girl is not using an eye pencil on her eyelid.	C	E
4244	The girl is not wearing a white shirt and a pink skirt, and is not standing in front of a house.	The girl is not wearing a white shirt and a pink skirt, and is not standing in front of a house.	C	E
4262	The girl isn't jumping onto the car recklessly.	The girl isn't jumping onto the car recklessly.	C	E
4263	The girl likes red and isn't wearing beads for teenagers.	The girl likes red and isn't wearing beads for teenagers.	C	E
4276	The group of people is not sitting in a dim room.	The group of people is not sitting in a dim room.	C	E
4277	The group of people is not sitting on a rocky ledge with a scenic view behind them.	The group of people is not sitting on a rocky ledge with a scenic view behind them.	C	E
4278	The group of people is not sitting on the ground outside a monument.	The group of people is not sitting on the ground outside a monument.	C	E
4289	The guitar is being played by nobody.	The guitar is being played by nobody.	C	E
4300	The herd of caribous is not crossing a road.	The herd of caribous is not crossing a road.	C	E
4305	The ice hockey goalkeeper is not wearing a yellow jersey and is not defending the goal.	The ice hockey goalkeeper is not wearing a yellow jersey and is not defending the goal.	C	E
4310	The kangaroo is picking up the woman.	The kangaroo is picking up the woman.	C	E
4318	The kids are not chasing each other in the sand.	The kids are not chasing each other in the sand.	C	E
4319	The kids are not wearing suits and water is splashing around.	The kids are not wearing suits and water is splashing around.	C	E
4323	The kitten is not playing with a toy.	The kitten is not playing with a toy.	C	E
4325	The kitten isn't eagerly drinking some milk from the bowl.	The kitten isn't eagerly drinking some milk from the bowl.	C	E
4343	The lady is picking up the kangaroo.	The lady is picking up the kangaroo.	C	E
4349	The lady isn't breaking raw eggs into a bowl.	The lady isn't breaking raw eggs into a bowl.	C	E
4350	The lady isn't cracking an egg for the mixer.	The lady isn't cracking an egg for the mixer.	C	E
4351	The lady isn't measuring the ankle of another woman.	The lady isn't measuring the ankle of another woman.	C	E
4352	The lady isn't slicing up the meat.	The lady isn't slicing up the meat.	C	E
4354	The large brown dog is not running outside in the dirt.	The large brown dog is not running outside in the dirt.	C	E
4361	The little boy is not singing and playing the guitar.	The little boy is not singing and playing the guitar.	C	E
4373	The little girl is not swinging and the woman is not standing behind her.	The little girl is not swinging and the woman is not standing behind her.	C	E
4380	The log is lying on the panda bear.	The log is lying on the panda bear.	C	E
4381	The loud man is not allowed to play the guitar.	The loud man is not allowed to play the guitar.	C	E
4382	The machine is not shaving a pencil.	The machine is not shaving a pencil.	C	E
4390	The man and woman are not walking.	The man and woman are not walking.	C	E
4393	The man at the beach is not doing a handstand on the wet sand at the edge of the water.	The man at the beach is not doing a handstand on the wet sand at the edge of the water.	C	E
4397	The man in a cowboy hat is not walking through a market and is not putting a hand in his pocket.	The man in a cowboy hat is not walking through a market and is not putting a hand in his pocket.	C	E
4407	The man in not playing the flute.	The man in not playing the flute.	C	E
4410	The man in the purple hat isn't operating a camera that makes videos.	The man in the purple hat isn't operating a camera that makes videos.	C	E
4412	The man in the straw hat is not smoking a cigarette.	The man in the straw hat is not smoking a cigarette.	C	E
4443	The man is denying an interview.	The man is denying an interview.	C	E
4488	The man is not adding seasoning to the/some water in a bowl.	The man is not adding seasoning to the/some water in a bowl.	C	E
4489	The man is not chopping a tree trunk with an axe.	The man is not chopping a tree trunk with an axe.	C	E
4490	The man is not climbing up a rope.	The man is not climbing up a rope.	C	E
4491	The man is not cutting a paper plate.	The man is not cutting a paper plate.	C	E
4492	The man is not cutting the tape on the box.	The man is not cutting the tape on the box.	C	E
4493	The man is not dancing.	The man is not dancing.	C	E
4494	The man is not doing a wheelie on a mountain bike.	The man is not doing a wheelie on a mountain bike.	C	E
4495	The man is not doing exercises.	The man is not doing exercises.	C	E
4496	The man is not doing floor exercises.	The man is not doing floor exercises.	C	E
4497	The man is not drawing.	The man is not drawing.	C	E
4498	The man is not eating a banana by a tree.	The man is not eating a banana by a tree.	C	E
4499	The man is not exercising.	The man is not exercising.	C	E
4500	The man is not feeding the snake with a mouse.	The man is not feeding the snake with a mouse.	C	E
4501	The man is not going into the water.	The man is not going into the water.	C	E
4502	The man is not hammering a nail with a camera.	The man is not hammering a nail with a camera.	C	E
4503	The man is not hiking in the woods.	The man is not hiking in the woods.	C	E
4504	The man is not kick boxing with a trainer.	The man is not kick boxing with a trainer.	C	E
4505	The man is not knocked off of a horse.	The man is not knocked off of a horse.	C	E
4506	The man is not performing a large jump.	The man is not performing a large jump.	C	E
4507	The man is not playing a flute.	The man is not playing a flute.	C	E
4508	The man is not playing a guitar.	The man is not playing a guitar.	C	E
4509	The man is not playing the drums.	The man is not playing the drums.	C	E
4510	The man is not playing the guitar.	The man is not playing the guitar.	C	E
4511	The man is not putting chicken into the container.	The man is not putting chicken into the container.	C	E
4512	The man is not riding a horse.	The man is not riding a horse.	C	E
4513	The man is not riding a horse by a creek.	The man is not riding a horse by a creek.	C	E
4514	The man is not riding a mechanical bull.	The man is not riding a mechanical bull.	C	E
4515	The man is not seasoning the sausages.	The man is not seasoning the sausages.	C	E
4516	The man is not slicing a potato.	The man is not slicing a potato.	C	E
4517	The man is not slicing potatoes.	The man is not slicing potatoes.	C	E
4518	The man is not slicing the potato.	The man is not slicing the potato.	C	E
4519	The man is not slicing vegetables.	The man is not slicing vegetables.	C	E
4520	The man is not standing on a rocky mountain and gray clouds are not in the background.	The man is not standing on a rocky mountain and gray clouds are not in the background.	C	E
4521	The man is not stirring oil.	The man is not stirring oil.	C	E
4522	The man is not stirring the sauce for the chicken.	The man is not stirring the sauce for the chicken.	C	E
4523	The man is not taking a picture of himself and another guy.	The man is not taking a picture of himself and another guy.	C	E
4524	The man is not talking on the phone.	The man is not talking on the phone.	C	E
4525	The man is not walking along a path through the wilderness.	The man is not walking along a path through the wilderness.	C	E
4623	The man isn't cautiously feeding a mouse to the snake.	The man isn't cautiously feeding a mouse to the snake.	C	E
4624	The man isn't doing a magic trick.	The man isn't doing a magic trick.	C	E
4625	The man isn't driving a car.	The man isn't driving a car.	C	E
4626	The man isn't intensely playing the guitar.	The man isn't intensely playing the guitar.	C	E
4627	The man isn't lifting weights.	The man isn't lifting weights.	C	E
4628	The man isn't operating a stenograph.	The man isn't operating a stenograph.	C	E
4629	The man isn't playing an acoustic guitar.	The man isn't playing an acoustic guitar.	C	E
4630	The man isn't playing the piano.	The man isn't playing the piano.	C	E
4631	The man isn't smearing butter on bread.	The man isn't smearing butter on bread.	C	E
4632	The man isn't talking on the telephone.	The man isn't talking on the telephone.	C	E
4637	The man on stage isn't singing into the microphone.	The man on stage isn't singing into the microphone.	C	E
4641	The man with brown hair is not wearing sunglasses and is not sitting at a table with cans of soda and other drinks.	The man with brown hair is not wearing sunglasses and is not sitting at a table with cans of soda and other drinks.	C	E
4645	The man's jumper is in the empty pool.	The man's jumper is in the empty pool.	C	E
4647	The meat is not being dropped into a pan.	The meat is not being dropped into a pan.	C	E
4655	The men are not climbing a mountain.	The men are not climbing a mountain.	C	E
4656	The men are not dancing.	The men are not dancing.	C	E
4657	The men are not fist fighting in a ring.	The men are not fist fighting in a ring.	C	E
4658	The men are not packing suitcases into the trunk of a car.	The men are not packing suitcases into the trunk of a car.	C	E
4659	The men are not playing soccer.	The men are not playing soccer.	C	E
4660	The men are not putting suitcases into the trunk of a car.	The men are not putting suitcases into the trunk of a car.	C	E
4661	The men are not talking.	The men are not talking.	C	E
4669	The men in brown shorts are not walking on the rocks beside a river.	The men in brown shorts are not walking on the rocks beside a river.	C	E
4673	The military officer is not barking at the recruits.	The military officer is not barking at the recruits.	C	E
4679	The monkey is not brushing a bull dog.	The monkey is not brushing a bull dog.	C	E
4681	The monkey isn't practicing martial arts.	The monkey isn't practicing martial arts.	C	E
4692	The orange rescue boat is not rushing across the water.	The orange rescue boat is not rushing across the water.	C	E
4695	The orange rider is not driving a motorcycle on one wheel.	The orange rider is not driving a motorcycle on one wheel.	C	E
4698	The oriental lady is not cutting a carrot into thin pieces.	The oriental lady is not cutting a carrot into thin pieces.	C	E
4700	The panda bear is not lying on the logs.	The panda bear is not lying on the logs.	C	E
4703	The panda is not eating bamboo.	The panda is not eating bamboo.	C	E
4710	The people are not sitting on a bench in front of a restaurant.	The people are not sitting on a bench in front of a restaurant.	C	E
4711	The people are not walking on the road beside a beautiful waterfall.	The people are not walking on the road beside a beautiful waterfall.	C	E
4722	The person in the blue jacket is putting down a colorful helmet.	The person in the blue jacket is putting down a colorful helmet.	C	E
4736	The person is not drawing.	The person is not drawing.	C	E
4737	The person is not flying through the air on a bicycle.	The person is not flying through the air on a bicycle.	C	E
4738	The person is not going into the water.	The person is not going into the water.	C	E
4739	The person is not riding the horse.	The person is not riding the horse.	C	E
4740	The person is not slicing a clove of garlic into pieces.	The person is not slicing a clove of garlic into pieces.	C	E
4741	The person is not slicing onions.	The person is not slicing onions.	C	E
4742	The person is not standing on white ice.	The person is not standing on white ice.	C	E
4743	The person is not writing with a pencil.	The person is not writing with a pencil.	C	E
4769	The person isn't dicing up an orange pepper.	The person isn't dicing up an orange pepper.	C	E
4770	The person isn't practicing the guitar.	The person isn't practicing the guitar.	C	E
4771	The person isn't riding a motorbike on a sandy track.	The person isn't riding a motorbike on a sandy track.	C	E
4772	The person isn't slicing a vegetable.	The person isn't slicing a vegetable.	C	E
4775	The person on the motorcycle is not holding up an arm.	The person on the motorcycle is not holding up an arm.	C	E
4782	The piano isn't being played by anyone.	The piano isn't being played by anyone.	C	E
4787	The piece of paper is not being cut.	The piece of paper is not being cut.	C	E
4792	The player in purple, white and black is not playing near the end of the field.	The player in purple, white and black is not playing near the end of the field.	C	E
4795	The player is missing the basket and a crowd is in background.	The player is missing the basket and a crowd is in background.	C	E
4801	The potato isn't being peeled by a woman.	The potato isn't being peeled by a woman.	C	E
4802	The practicing person doesn't like the guitar.	The practicing person doesn't like the guitar.	C	E
4805	The presentation isn't being watched by a classroom of students.	The presentation isn't being watched by a classroom of students.	C	E
4807	The puppy is not playing with a plastic container.	The puppy is not playing with a plastic container.	C	E
4812	The red and brown dog is not digging its nose inside a holiday gift bag.	The red and brown dog is not digging its nose inside a holiday gift bag.	C	E
4816	The rhino is not grazing on the grass.	The rhino is not grazing on the grass.	C	E
4820	The rider on the blue and black motocross bike is not wearing the pants.	The rider on the blue and black motocross bike is not wearing the pants.	C	E
4822	The rollerblader is not performing a trick on a ramp.	The rollerblader is not performing a trick on a ramp.	C	E
4823	The runners are not racing around a track.	The runners are not racing around a track.	C	E
4827	The shirtless man in striped shorts and sunglasses is not standing near a man in a white shirt and sunglasses.	The shirtless man in striped shorts and sunglasses is not standing near a man in a white shirt and sunglasses.	C	E
4840	The small child is not wading through the water and is not being guided by another person.	The small child is not wading through the water and is not being guided by another person.	C	E
4852	The snowboarder is not jumping off a snow covered hill.	The snowboarder is not jumping off a snow covered hill.	C	E
4853	The snowboarder isn't leaping over white snow.	The snowboarder isn't leaping over white snow.	C	E
4855	The soccer player is not kicking the ball between somebody's legs.	The soccer player is not kicking the ball between somebody's legs.	C	E
4857	The south African plane is not flying in a blue sky.	The south African plane is not flying in a blue sky.	C	E
4859	The squirrel is not running in circles.	The squirrel is not running in circles.	C	E
4864	The sun is not shining on the face of the girl who is in a yellow dress.	The sun is not shining on the face of the girl who is in a yellow dress.	C	E
4872	The tan dog is not watching a brown dog that is swimming in a pond.	The tan dog is not watching a brown dog that is swimming in a pond.	C	E
4880	The turtle isn't following the fish.	The turtle isn't following the fish.	C	E
4886	The white dog is not wearing reindeer ears and isn't near a brown dog.	The white dog is not wearing reindeer ears and isn't near a brown dog.	C	E
4891	The white dogs aren't looking curiously at the black llama.	The white dogs aren't looking curiously at the black llama.	C	E
4896	The woman and the man are not travelling by car.	The woman and the man are not travelling by car.	C	E
4902	The woman in a red costume is not leaning against a brick wall and is not playing an instrument.	The woman in a red costume is not leaning against a brick wall and is not playing an instrument.	C	E
4906	The woman in the white sweater is not drawing a tattoo on the hand of a teenager.	The woman in the white sweater is not drawing a tattoo on the hand of a teenager.	C	E
4941	The woman is not adding sugar to the meat.	The woman is not adding sugar to the meat.	C	E
4942	The woman is not chopping garlic.	The woman is not chopping garlic.	C	E
4943	The woman is not cooking something.	The woman is not cooking something.	C	E
4944	The woman is not cracking two eggs into a glass bowl.	The woman is not cracking two eggs into a glass bowl.	C	E
4945	The woman is not cutting a carrot.	The woman is not cutting a carrot.	C	E
4946	The woman is not dancing.	The woman is not dancing.	C	E
4947	The woman is not dicing garlic.	The woman is not dicing garlic.	C	E
4948	The woman is not frying a breaded pork chop.	The woman is not frying a breaded pork chop.	C	E
4949	The woman is not handling a frog.	The woman is not handling a frog.	C	E
4950	The woman is not penciling on eyeshadow.	The woman is not penciling on eyeshadow.	C	E
4951	The woman is not picking up a baby kangaroo.	The woman is not picking up a baby kangaroo.	C	E
4952	The woman is not picking up and holding a baby kangaroo.	The woman is not picking up and holding a baby kangaroo.	C	E
4953	The woman is not playing an electric guitar.	The woman is not playing an electric guitar.	C	E
4954	The woman is not playing the flute.	The woman is not playing the flute.	C	E
4955	The woman is not poking holes in the potato.	The woman is not poking holes in the potato.	C	E
4956	The woman is not pouring oil into the pan.	The woman is not pouring oil into the pan.	C	E
4957	The woman is not putting makeup on the man.	The woman is not putting makeup on the man.	C	E
4958	The woman is not putting pasta into a dish.	The woman is not putting pasta into a dish.	C	E
4959	The woman is not seasoning the oil.	The woman is not seasoning the oil.	C	E
4960	The woman is not slicing an onion.	The woman is not slicing an onion.	C	E
4961	The woman is not slicing an onion with a knife.	The woman is not slicing an onion with a knife.	C	E
4962	The woman is not slicing herbs.	The woman is not slicing herbs.	C	E
4963	The woman is not stirring meat in a bowl.	The woman is not stirring meat in a bowl.	C	E
4964	The woman is not walking the dog.	The woman is not walking the dog.	C	E
4965	The woman is not waterskiing.	The woman is not waterskiing.	C	E
4966	The woman is not wearing a red jacket and is not holding a glass in front of the man in a white t-shirt.	The woman is not wearing a red jacket and is not holding a glass in front of the man in a white t-shirt.	C	E
4967	The woman is not wearing glasses or a headdress.	The woman is not wearing glasses or a headdress.	C	E
4970	The woman is picking up a baby kangaroo.	The woman is picking up a baby kangaroo.	C	E
4973	The woman is picking up the kangaroo.	The woman is picking up the kangaroo.	C	E
4986	The woman is putting down the kangaroo.	The woman is putting down the kangaroo.	C	E
4991	The woman is removing make-up.	The woman is removing make-up.	C	E
5021	The woman isn't playing the guitar, which is acoustic, or singing.	The woman isn't playing the guitar, which is acoustic, or singing.	C	E
5022	The woman isn't pouring oil into a skillet.	The woman isn't pouring oil into a skillet.	C	E
5023	The woman isn't stirring eggs in a bowl.	The woman isn't stirring eggs in a bowl.	C	E
5027	The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike.	The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike.	C	E
5031	The woman with the knife is not slicing a pepper.	The woman with the knife is not slicing a pepper.	C	E
5034	The women are not dancing outside.	The women are not dancing outside.	C	E
5035	The women are not singing and dancing.	The women are not singing and dancing.	C	E
5043	The young boy in the blue shirt is not jumping into the water.	The young boy in the blue shirt is not jumping into the water.	C	E
5045	The young boy is not running through the ocean waves.	The young boy is not running through the ocean waves.	C	E
5048	The young boys are not posing with a green soccer ball in a park.	The young boys are not posing with a green soccer ball in a park.	C	E
5061	The young girl with a pink shirt isn't peacefully lying on the grass.	The young girl with a pink shirt isn't peacefully lying on the grass.	C	E
5065	The young man is not rock climbing.	The young man is not rock climbing.	C	E
5069	There are no boys kneeling next to each other in front of a ball.	There are no boys kneeling next to each other in front of a ball.	C	E
5070	There are no children playing and waiting.	There are no children playing and waiting.	C	E
5071	There are no children playing on a statue.	There are no children playing on a statue.	C	E
5072	There are no dogs fighting for a frisbee in a lake.	There are no dogs fighting for a frisbee in a lake.	C	E
5073	There are no dogs of different breeds looking at each other across a street.	There are no dogs of different breeds looking at each other across a street.	C	E
5074	There are no dogs playing in the snow.	There are no dogs playing in the snow.	C	E
5075	There are no football players in red and white jumping and hugging each other.	There are no football players in red and white jumping and hugging each other.	C	E
5076	There are no kids jumping on a trampoline.	There are no kids jumping on a trampoline.	C	E
5077	There are no little boys playing outside with a soccer ball on the green grass.	There are no little boys playing outside with a soccer ball on the green grass.	C	E
5078	There are no men fighting.	There are no men fighting.	C	E
5079	There are no men sawing.	There are no men sawing.	C	E
5080	There are no men sitting at the table with four beer bottles.	There are no men sitting at the table with four beer bottles.	C	E
5081	There are no mimes performing.	There are no mimes performing.	C	E
5082	There are no people driving ATVs.	There are no people driving ATVs.	C	E
5083	There are no people flipping the tires of a tractor.	There are no people flipping the tires of a tractor.	C	E
5084	There are no racers running down a track.	There are no racers running down a track.	C	E
5085	There are no soccer players kicking a soccer ball into the goal.	There are no soccer players kicking a soccer ball into the goal.	C	E
5086	There are no white dogs running and jumping along a beach.	There are no white dogs running and jumping along a beach.	C	E
5087	There are no women wearing bikinis on the sandy beach.	There are no women wearing bikinis on the sandy beach.	C	E
5088	There aren't many people in the ice skating park.	There aren't many people in the ice skating park.	C	E
5090	There is no Asian woman holding a fur scarf.	There is no Asian woman holding a fur scarf.	C	E
5091	There is no adult in the amphitheater talking to a boy.	There is no adult in the amphitheater talking to a boy.	C	E
5092	There is no airplane taking off.	There is no airplane taking off.	C	E
5093	There is no baby being put into a trash can by a woman.	There is no baby being put into a trash can by a woman.	C	E
5094	There is no baby playing with a dog.	There is no baby playing with a dog.	C	E
5095	There is no baby talking.	There is no baby talking.	C	E
5096	There is no baby tiger playing with a ball.	There is no baby tiger playing with a ball.	C	E
5097	There is no badger shrewdly digging the earth.	There is no badger shrewdly digging the earth.	C	E
5098	There is no band playing.	There is no band playing.	C	E
5099	There is no basketball player on the court floor and no one is grabbing the ball.	There is no basketball player on the court floor and no one is grabbing the ball.	C	E
5100	There is no bicyclist jumping on a pyramid-shaped ramp.	There is no bicyclist jumping on a pyramid-shaped ramp.	C	E
5101	There is no biker jumping in the air.	There is no biker jumping in the air.	C	E
5102	There is no black and white dog jumping for a ball.	There is no black and white dog jumping for a ball.	C	E
5103	There is no black dog with a red collar putting its face in the water.	There is no black dog with a red collar putting its face in the water.	C	E
5104	There is no black, red, white and pink dress being worn by a woman.	There is no black, red, white and pink dress being worn by a woman.	C	E
5105	There is no blond child holding a yellow bottle.	There is no blond child holding a yellow bottle.	C	E
5106	There is no blonde lady looking at a tower.	There is no blonde lady looking at a tower.	C	E
5107	There is no bmx biker jumping dirt ramps in front of a body of water.	There is no bmx biker jumping dirt ramps in front of a body of water.	C	E
5108	There is no boy checking a calendar.	There is no boy checking a calendar.	C	E
5109	There is no boy cutting grass with scissors.	There is no boy cutting grass with scissors.	C	E
5110	There is no boy filling a pitcher with water.	There is no boy filling a pitcher with water.	C	E
5111	There is no boy hanging a fishing rod and running in front of a fish.	There is no boy hanging a fishing rod and running in front of a fish.	C	E
5112	There is no boy in a swimsuit sitting on top of a circular fountain.	There is no boy in a swimsuit sitting on top of a circular fountain.	C	E
5113	There is no boy in a white t-shirt splashing in shallow water.	There is no boy in a white t-shirt splashing in shallow water.	C	E
5114	There is no boy looking at a calendar.	There is no boy looking at a calendar.	C	E
5115	There is no boy playing a guitar.	There is no boy playing a guitar.	C	E
5116	There is no boy playing a keyboard.	There is no boy playing a keyboard.	C	E
5117	There is no boy playing a piano.	There is no boy playing a piano.	C	E
5118	There is no boy playing guitar.	There is no boy playing guitar.	C	E
5119	There is no boy playing outdoors and there is no man smiling.	There is no boy playing outdoors and there is no man smiling.	C	E
5120	There is no boy standing in front of the blue building in the space reserved for handicapped people.	There is no boy standing in front of the blue building in the space reserved for handicapped people.	C	E
5121	There is no boy walking across a bridge.	There is no boy walking across a bridge.	C	E
5122	There is no boy wearing red shorts jumping into a paddling pool.	There is no boy wearing red shorts jumping into a paddling pool.	C	E
5123	There is no brown dog and black dog playing in the sand.	There is no brown dog and black dog playing in the sand.	C	E
5124	There is no brown dog jumping in the air.	There is no brown dog jumping in the air.	C	E
5125	There is no brown dog running across the yard with a toy in its mouth.	There is no brown dog running across the yard with a toy in its mouth.	C	E
5126	There is no brown dog running through tall green grass.	There is no brown dog running through tall green grass.	C	E
5127	There is no brown dog standing in the water.	There is no brown dog standing in the water.	C	E
5128	There is no brown dog staring attentively at a brown and white dog.	There is no brown dog staring attentively at a brown and white dog.	C	E
5129	There is no brown duck with a green head flapping its wings in the water.	There is no brown duck with a green head flapping its wings in the water.	C	E
5130	There is no bunny playing with a stuffed bunny.	There is no bunny playing with a stuffed bunny.	C	E
5131	There is no butter being added to the stand mixer.	There is no butter being added to the stand mixer.	C	E
5132	There is no cat eating corn on the cob.	There is no cat eating corn on the cob.	C	E
5133	There is no cat hungrily drinking milk.	There is no cat hungrily drinking milk.	C	E
5134	There is no cat playing a keyboard.	There is no cat playing a keyboard.	C	E
5135	There is no cat playing keyboards.	There is no cat playing keyboards.	C	E
5136	There is no cat playing with a device.	There is no cat playing with a device.	C	E
5137	There is no cat playing with a watermelon.	There is no cat playing with a watermelon.	C	E
5138	There is no cat sliding upside down under a couch.	There is no cat sliding upside down under a couch.	C	E
5139	There is no cat swinging on a fan.	There is no cat swinging on a fan.	C	E
5140	There is no cat walking on a hardwood floor.	There is no cat walking on a hardwood floor.	C	E
5141	There is no cheetah quickly running behind its prey.	There is no cheetah quickly running behind its prey.	C	E
5142	There is no chef preparing a meal.	There is no chef preparing a meal.	C	E
5143	There is no child hanging on a large branch.	There is no child hanging on a large branch.	C	E
5144	There is no child holding a camera in front of his face.	There is no child holding a camera in front of his face.	C	E
5145	There is no child holding a squirt gun.	There is no child holding a squirt gun.	C	E
5146	There is no child holding a water gun or getting sprayed with water.	There is no child holding a water gun or getting sprayed with water.	C	E
5147	There is no child in a red outfit jumping on a trampoline.	There is no child in a red outfit jumping on a trampoline.	C	E
5148	There is no child lying in the snow and making snow angels.	There is no child lying in the snow and making snow angels.	C	E
5149	There is no child playing with a water spout outdoors with the rest of his family watching.	There is no child playing with a water spout outdoors with the rest of his family watching.	C	E
5150	There is no child sitting in a red and yellow toy car.	There is no child sitting in a red and yellow toy car.	C	E
5151	There is no child waking up.	There is no child waking up.	C	E
5152	There is no classroom full of students looking in the same direction inside a bamboo structure.	There is no classroom full of students looking in the same direction inside a bamboo structure.	C	E
5153	There is no clown singing.	There is no clown singing.	C	E
5154	There is no clown singing and people are not dancing.	There is no clown singing and people are not dancing.	C	E
5155	There is no cold cyclist celebrating.	There is no cold cyclist celebrating.	C	E
5156	There is no cook slicing some bell peppers.	There is no cook slicing some bell peppers.	C	E
5157	There is no couple running towards the ocean.	There is no couple running towards the ocean.	C	E
5158	There is no cyclist on a yellow bike airborne.	There is no cyclist on a yellow bike airborne.	C	E
5159	There is no cyclist performing a jump on a bicycle.	There is no cyclist performing a jump on a bicycle.	C	E
5160	There is no deer jumping fences.	There is no deer jumping fences.	C	E
5161	There is no dog barking.	There is no dog barking.	C	E
5162	There is no dog barking at a ball.	There is no dog barking at a ball.	C	E
5163	There is no dog bouncing on a trampoline.	There is no dog bouncing on a trampoline.	C	E
5164	There is no dog catching a ball.	There is no dog catching a ball.	C	E
5165	There is no dog chasing a ball.	There is no dog chasing a ball.	C	E
5166	There is no dog chasing a ball in the grass.	There is no dog chasing a ball in the grass.	C	E
5167	There is no dog chasing another or holding a stick in its mouth.	There is no dog chasing another or holding a stick in its mouth.	C	E
5168	There is no dog crossing a river on a bridge made from a fallen tree.	There is no dog crossing a river on a bridge made from a fallen tree.	C	E
5169	There is no dog eating a doll.	There is no dog eating a doll.	C	E
5170	There is no dog excitedly playing with water in the grass.	There is no dog excitedly playing with water in the grass.	C	E
5171	There is no dog in a colored coat running across the yard.	There is no dog in a colored coat running across the yard.	C	E
5172	There is no dog joyfully running on the grass.	There is no dog joyfully running on the grass.	C	E
5173	There is no dog jumping at a shiny blue soccer ball in a field of dry leaves.	There is no dog jumping at a shiny blue soccer ball in a field of dry leaves.	C	E
5174	There is no dog jumping for a Frisbee in the snow.	There is no dog jumping for a Frisbee in the snow.	C	E
5175	There is no dog leaping in the air.	There is no dog leaping in the air.	C	E
5176	There is no dog leaping through snowy grass and rocks.	There is no dog leaping through snowy grass and rocks.	C	E
5177	There is no dog licking a baby.	There is no dog licking a baby.	C	E
5178	There is no dog looking around.	There is no dog looking around.	C	E
5179	There is no dog playing in a field of brown grass.	There is no dog playing in a field of brown grass.	C	E
5180	There is no dog playing with a red ball.	There is no dog playing with a red ball.	C	E
5181	There is no dog playing with a toy.	There is no dog playing with a toy.	C	E
5182	There is no dog racing on a track.	There is no dog racing on a track.	C	E
5183	There is no dog riding a skateboard.	There is no dog riding a skateboard.	C	E
5184	There is no dog rolling from side to side.	There is no dog rolling from side to side.	C	E
5185	There is no dog running and carrying an object in its mouth.	There is no dog running and carrying an object in its mouth.	C	E
5186	There is no dog running in the grass.	There is no dog running in the grass.	C	E
5187	There is no dog running on the beach.	There is no dog running on the beach.	C	E
5188	There is no dog running on the road.	There is no dog running on the road.	C	E
5189	There is no dog running through a field and chasing a ball.	There is no dog running through a field and chasing a ball.	C	E
5190	There is no dog running up a grassy hill.	There is no dog running up a grassy hill.	C	E
5191	There is no dog running with a volleyball.	There is no dog running with a volleyball.	C	E
5192	There is no dog standing on one leg and is waiting for a soccer ball.	There is no dog standing on one leg and is waiting for a soccer ball.	C	E
5193	There is no dog standing on the side of a mountain.	There is no dog standing on the side of a mountain.	C	E
5194	There is no dog standing with its two front paws on a rock in the field.	There is no dog standing with its two front paws on a rock in the field.	C	E
5195	There is no dog swimming in a lake with sunshine shining on him.	There is no dog swimming in a lake with sunshine shining on him.	C	E
5196	There is no dog turning on the grass and pursuing a flying ball.	There is no dog turning on the grass and pursuing a flying ball.	C	E
5197	There is no dog walking along a snowdrift.	There is no dog walking along a snowdrift.	C	E
5198	There is no dog which is furry and black in a back yard carrying a basket in its mouth..	There is no dog which is furry and black in a back yard carrying a basket in its mouth..	C	E
5199	There is no dog with a blue blanket running through the grass.	There is no dog with a blue blanket running through the grass.	C	E
5200	There is no dog wrestling and hugging.	There is no dog wrestling and hugging.	C	E
5201	There is no family posing by the mantel and the Christmas tree.	There is no family posing by the mantel and the Christmas tree.	C	E
5202	There is no famous singer dancing on the ceiling.	There is no famous singer dancing on the ceiling.	C	E
5203	There is no football player in a purple jersey running with the ball for a touchdown.	There is no football player in a purple jersey running with the ball for a touchdown.	C	E
5204	There is no girl applying makeup to her face.	There is no girl applying makeup to her face.	C	E
5205	There is no girl brushing her hair.	There is no girl brushing her hair.	C	E
5206	There is no girl communicating with sign language.	There is no girl communicating with sign language.	C	E
5207	There is no girl filing her nails.	There is no girl filing her nails.	C	E
5208	There is no girl in a brown dress being surrounded by children and closing her eyes.	There is no girl in a brown dress being surrounded by children and closing her eyes.	C	E
5209	There is no girl in blue jumping in the air.	There is no girl in blue jumping in the air.	C	E
5210	There is no girl in pink twirling a ribbon.	There is no girl in pink twirling a ribbon.	C	E
5211	There is no girl in white dancing.	There is no girl in white dancing.	C	E
5212	There is no girl jumping into the car.	There is no girl jumping into the car.	C	E
5213	There is no girl laughing and there is no other girl watching.	There is no girl laughing and there is no other girl watching.	C	E
5214	There is no girl playing a flute.	There is no girl playing a flute.	C	E
