sentence,tokens
The man is cooking sauce for the meat,8
The man is not stirring the sauce for the chicken,10
A man is playing guitar,5
There is no man playing guitar,6
A man is strumming a guitar,6
Three boys in karate uniform are sparring,7
Three boys in karate costumes are fighting,7
Three boys in karate costumes aren't fighting,7
Three men are practicing karate in a field,8
Three men are practicing karate outdoors,6
Three men are practicing karate in a gym,8
Some women are holding each other in a circle and dancing,11
A few women are holding each other and dancing together,10
A woman is dancing alone,5
Two men are playing table tennis,6
Two men are playing ping pong,6
Two men are playing table football,6
A woman is cutting broccoli,5
A woman is slicing vegetables,5
There is no woman cutting broccoli,6
A woman is cutting some flowers,6
A woman is cutting some plants,6
A woman is planting some flowers,6
A white horse is standing,5
A horse is standing,4
A horse is running,4
A woman is cutting a white onion,7
A woman is cutting an onion,6
There is no woman cutting an onion,7
A cat is playing a piano,6
A cat is playing a keyboard,6
There is no cat playing a keyboard,7
A musician is playing two keyboards,6
A man is playing two keyboards,6
There is no man playing two keyboards,7
Mimes are performing on a small stage,7
Mimes are performing on a stage,6
There are no mimes performing,5
The men are acting on a stage,7
The men are performing on stage,6
Two men are leaving the stage,6
A man is carrying a tree,6
A man is carrying a plant,6
A man is dropping a tree,6
A man is picking up a tree,7
A tree is being picked up by a man,9
A man is planting a tree,6
A man is passionately playing the guitar,7
A man is playing the guitar,6
There is no man playing the guitar,7
A man is playing the guitar owner,7
A trumpet is being played by a person,8
A person is playing a trumpet,6
A person is stopping playing a trumpet ,8
A person is listening to a trumpet playing,8
The badger is burrowing a hole,6
A hole is being burrowed by the badger,8
The badger isn't burrowing a hole,6
A badger which is shrewd is digging the earth,9
A badger is shrewdly digging the earth,7
There is no badger shrewdly digging the earth,8
Some liquid is being poured into a pan by a man,11
A man is pouring liquid into a pot,8
There is no man pouring liquid into a pot,9
The chef is carefully pouring oil in the pan,9
The chef is carefully pouring some oil into a pan,10
The chef is carefully drying the oil from the pan,10
The man is typing on a machine used for stenography,10
A man is typing on a machine used for stenography,10
A man is putting away a stenograph machine,8
The man is cautiously operating a stenograph,7
The man is operating a stenograph,6
The man isn't operating a stenograph,6
The man needs a stenograph to operate ,8
A snake is being fed a mouse by a man,10
One man is feeding a mouse to the snake,9
No snake is being fed a mouse by a man,10
A poor man is being fed snakes and mice,9
The man is carefully feeding a mouse to the snake,10
The man is cautiously feeding a mouse to the snake,10
The man isn't cautiously feeding a mouse to the snake,10
A guy is cheerfully playing with the footbag,8
A guy is cheerfully playing with a footbag,8
There is a guy cheerfully playing with a footbag,9
The man is austerely playing a piano,7
The man is playing a piano,6
The man isn't playing the piano,6
A man is mixing a few ingredients in a bowl,10
Some ingredients are being mixed in a bowl by a person,11
Some ingredients are being separated in a bowl by a person,11
A person is bowling the ingredients to the man at the mixer,12
A woman is vigorously breaking two eggs in a bowl.,10
A woman is breaking two eggs in a bowl,9
There is no woman breaking eggs in a bowl,9
A woman is bowling two eggs to a break dancer ,11
The girl is recklessly jumping onto a car,8
The girl is recklessly jumping onto a vehicle,8
The girl isn't jumping onto the car recklessly,8
A car is riskily jumping over a girl,8
One young lady is jumping on the car,8
One girl is jumping on the car,7
There is no girl jumping into the car,8
A girl is on a jumping car,7
One woman is slowly peeling a potato,7
One woman is peeling a potato,6
A woman is throwing a potato peel,7
A woman is peeling the potato,6
The potato is being peeled by a woman,8
The potato isn't being peeled by a woman,8
A boat is sailing quietly over the water,8
A boat is sailing peacefully over the water,8
A boat is anchored,4
A boat's sail is being reflected by the peaceful water,10
The guitar is being played by the man,8
The guitar is being played by a man,8
The guitar is being played by nobody,7
The man is a guitar player,6
The man is pouring oil on a few tomatoes,9
One person pours oil on a few tomatoes,8
A man isn't pouring oil on the tomatoes.,8
Few men like pouring tomato oil,6
Some oil is being poured on the tomatoes by the man,11
The man is pouring some oil on the tomatoes,9
There is no man pouring some oil on the tomatoes,10
Somebody is pouring tomato oil on the man,8
The milk is being drunk by a cat,8
The cat is drinking some milk,6
There is no milk being drunk by a cat,9
A drunk man is milking a cat,7
A kitten is drinking fresh milk,6
A little cat is drinking fresh milk,7
There is no kitten drinking milk,6
Milk is a kitten's drink,5
A man is emptying a container made of plastic completely,10
A man is emptying a container made of plastic,9
A man is filling a container made of plastic,9
A frog is being held carelessly by a man,9
A man is carelessly holding a frog,7
A man is carelessly dropping a frog,7
A man is slicing an onion,6
An onion is being sliced by a man,8
There is no man slicing an onion,7
A man is eating onion slices,6
An onion is being cut by a man,8
The onion is being cut by the man,8
No onion is being cut by a man,8
A man is recklessly riding a horse,7
A person is recklessly riding a horse,7
There is no man recklessly riding a horse,8
The elephant is being ridden by the woman,8
The woman is riding the elephant,6
The elephant isn't being ridden by the woman,8
The elephant is being ridden over a woman,8
Someone is feeding an animal,5
Someone is giving food to an animal,7
Nobody is feeding an animal,5
Somebody is playing the piano,5
The piano is being played by someone,7
The piano isn't being played by anyone,7
A man is pushing the buttons of a microwave,9
The buttons of a microwave are being pushed by a man,11
There is no man is pushing the buttons of a microwave,11
A man is being pushed toward the buttons of a microwave,11
One man is turning on the microwave,7
One man is powering the microwave,6
One man is turning off the microwave,7
A flute is being played in a lovely way by a girl,12
A flute is being played by a girl,8
A flute is being put away by a girl,9
A girl is making a flute which is not to be played,12
One woman is practicing with a flute,7
One woman is playing a flute,6
There is no woman playing a flute,7
A boy is happily playing the piano,7
One boy is happily playing a piano,7
The boy isn't playing the piano happily,7
The play is about a happy boy playing the piano,10
A piano is being played by a man,8
A piano is being played by a person,8
A piano isn't being played by a man,8
The piano player is being a tough man,8
A cheetah is breathlessly chasing its prey across a field,10
A cheetah is chasing its prey across a field,9
A cheetah is shaken off by its prey across a field.,11
A cheetah is quickly running behind its prey.,8
The cheetah is running quickly behind its prey,8
There is no cheetah quickly running behind its prey,9
A prey is quickly running behind the cheetah,8
A lion is pacing tiredly in a pen,8
The lion is pacing tiredly in the pen,8
There is no lion pacing tiredly in a pen,9
A lion is tiring the whole pen by pacing,9
A lion is slowly walking,5
A lion is slowly moving around,6
There is no lion walking,5
Not everyone is able to walk a lion,8
A flute is being played by a man,8
The flute is being played by one man,8
A flute isn't being played by a man,8
A man is playing the guitar loudly,7
The adult is playing the guitar loudly,7
There is no man playing the guitar loudly,8
The loud man is not allowed to play the guitar,10
The person is dicing up a pepper which is orange,10
An orange pepper is being diced up by a person,10
The person isn't dicing up an orange pepper,8
The orange colored dices are being cast by a cook to win the pepper,14
A cook is rapidly slicing some bell peppers,8
A cook is slicing some bell peppers,7
There is no cook slicing some bell peppers,8
Some bells are ringing near a cook slicing peppers,9
A girl is cutting the butter into two pieces,9
A girl is cutting butter into two pieces,8
A girl is melting two pieces of butter together,9
A magician is cutting a girl into two pieces like butter,11
Some tofu is being sliced by one woman,8
Tofu is being sliced by a woman,7
Tofu isn't being sliced by a woman,7
Some sliced tofu is being eaten by a woman,9
The girl who is little is carefully combing her hair into a pony tail,14
The girl who is little is combing her hair into a pony tail.,13
The girl who is little is ruffling her hair,9
A girl is combing the hair of a little pony's tail,11
One man is sitting steadily on the chair,8
One man is sitting on the chair,7
There is no man sitting on the chair,8
A man is carelessly smearing butter on a slice of garlic flavored bread ,14
The man is carelessly smearing butter on a slice of garlic bread,12
The man isn't smearing butter on bread ,8
A man is spreading butter on a piece of bread which is big,13
A piece of bread which is big is having butter spread upon it by a man OR A piece of bread which is big is being spread with butter by a man,32
A man is removing the butter from a piece of bread which is big,14
The parrot is amazingly talking into the microphone,8
The parrot is talking into the microphone,7
The parrot is silent in front of the microphone,9
The microphone in front of the talking parrot is being muted,11
The parrot is speaking,4
A parrot is speaking,4
There is no parrot speaking,5
The speaker likes parrots,4
A few kittens are eating,5
Some kittens are eating,4
Some kittens are hungry,4
A man is eating near the kittens,7
The food on the trays is being eaten by the kittens,11
The kittens are eating the food on the trays,9
The food on the trays isn't being eaten by the kittens,11
The kittens on the trays are being eaten as food for an advertisement,13
A person is singing and playing a guitar,8
A person is singing and playing the guitar,8
There is no person singing and playing the guitar,9
The singer is playing the guitar in front of a person,11
A man is passionately playing a guitar,7
One man is passionately playing the guitar,7
A man is putting away a guitar,7
The guitar player loves the man passionately,7
Some animals are playing wildly in the water,8
A few animals are playing in the water,8
A few animals are out of the water,8
Nobody is playing ping pong,5
Two people are playing ping pong,6
A ping pong player is meeting with two people,9
The windows are being polished by a man,8
The windows are being cleaned by a man,8
There is no window being cleaned by a man,9
The man has a window of time to clean himself,10
The man is driving a car carefully,7
The man is driving a car,6
The man isn't driving a car,6
The driver's car is parked by a man,8
One chimp is angrily kicking the target,7
A chimp is angrily kicking a target,7
A chimp is missing the target,6
An angry man is targeting a kicking chimp,8
The woman is pouring oil into a skillet,8
Oil is being poured into a skillet by the woman,10
The woman isn't pouring oil into a skillet,8
The skillet is being oiled by a woman who is pouring some water,13
The baby is being put into a trash can by a woman,12
A woman is putting the baby into a trash can,10
There is no baby being put into a trash can by a woman,13
A person is putting meat into a skillet carelessly,9
A person is putting meat into a skillet,8
A person is taking away the meat in the skillet,10
The kitten isn't eagerly drinking some milk from the bowl,10
The kitten is eagerly drinking some milk from the bowl,10
One small child is greedily drinking water from the cup,10
One small child is drinking water from the cup,9
One small child is filling the cup with water,9
The band is singing loudly,5
The band is singing ,5
The band isn't singing,4
The singer is leaving the band,6
A woman is putting on makeup carefully,7
A woman is putting on some makeup carefully,8
A woman is carefully removing her makeup,7
One person is playing the guitar and singing,8
A person is playing a guitar and singing,8
Nobody is playing the guitar and singing,7
The singer is hiring a person to fire the guitar player,11
The woman is happily playing a guitar which is acoustic and singing,12
The woman is playing a guitar which is acoustic and singing,11
The woman isn't playing the guitar which is acoustic or singing,11
The singer is playing the guitar at an acoustic concert for a woman,13
Some water is being casually drunk by a cat,9
Some water is being drunk by a cat,8
There is no water being drunk by a cat,9
A drunk man is unwarily watering a cat,8
One truck is quickly going down the hill,8
A truck is quickly going down a hill,8
A truck is quickly going up a hill,8
A young woman is playing the guitar,7
A girl is playing the guitar,6
A girl is not playing the guitar,7
The guitar player is loving one girl,7
One man is intensely playing a guitar,7
The man is intensely playing the guitar,7
The man isn't intensely playing the guitar,7
The intense man is a guitar player,7
The horse is being ridden by a man,8
A man is riding the horse,6
A man is riding the animal,6
The man is on the ride with the horse,9
A man is riding a motorbike,6
A man is driving a motorbike,6
A man is parking a motorbike,6
A motorbike rider is running over a man ,9
A magic trick is being performed by the magician,9
The man is doing a magic trick,7
The man isn't doing a magic trick,7
The kid who is doing magic is tricking an old man,11
A man is dangerously throwing knives at the tree,9
A man is dangerously throwing knives at a tree,9
A man is dangerously extracting knives from a tree,9
Some dangerous men with knives are throwing a bike against a tree,12
The guitar is being played by a lady,8
The guitar is being played by a girl,8
The guitar is being sold by a lady,8
The play for the ladies requires a guitar,8
The man is practicing the guitar,6
The person is practicing the guitar,6
The person isn't practicing the guitar,6
The practicing person doesn't like the guitar,7
The boy is enthusiastically playing in the mud,8
The boy is playing in the mud,7
The boy isn't playing in the mud,7
Mud is being thrown to the playing boy,8
The cat is playing with a device,7
A cat is playing with a device,7
There is no cat playing with a device,8
A playing device is amusing a cat,7
Some meat is being cut into pieces by a woman,10
A woman is cutting some meat into pieces,8
Some meat is being stitched together by a woman,9
The woman is eating some cut pieces of raw meat,10
A lady is cutting up some meat precisely,8
A lady is cutting up some meat,7
There is no lady cutting up some meat,8
A boy in his teens is talking to a girl with an internet camera,14
A boy in his teens is talking to a girl with a webcam,13
A boy in his teens isn't talking to a girl with a webcam,13
The teens are talking to a boy and a girl with a webcam,13
One man is talking to a girl with an internet camera,11
One man is chatting with a girl with an internet camera,11
A man is ignoring a girl via an internet camera,10
Eggs are being strongly whisked in a bowl by a person,11
A person is strongly whisking eggs in a bowl,9
A person is removing eggs from a bowl,8
A strong person is leaving the whisk in the bowl near the eggs,13
A woman is beating two eggs in a bowl and using a whisk made of wire,16
One woman is beating two eggs in the bowl and using a whisk made of wire,16
There is no woman beating two eggs in a bowl and using a whisk made of wire,17
A woman is beating the man that is keeping two eggs in the bowl using a wire whisk ,19
An interview is being granted by the man,8
The man is granting an interview,6
The man is denying an interview,6
The interviewer is granting a break to the man,9
A white car is being driven by the man,9
A person is driving the white car,7
There is no white car being driven by the man,10
A man's white car is being driven away,8
A cord is being climbed by a man,8
A rope is being climbed by a man,8
There is no rope being climbed by a man,9
A man is being roped by a climber,8
A man is mindlessly slicing the carrot with a machine,10
A man is slicing the carrot with a machine,9
A man is removing a carrot from a machine,9
A man is eating a carrot sliced by a machine,10
The cat is licking a shallow dish full of milk,10
The cat is licking milk from a saucer,8
The cat isn't licking milk from a saucer,8
A lick of milk sauce is being given to the cat,11
Some milk is being hungrily drunk by a cat,9
The cat is hungrily drinking milk,6
There is no cat hungrily drinking milk,7
Drinking milk helps a cat's hunger,6
A baby is cheerfully playing with a dog,8
A baby is playing with a dog ,8
There is no baby playing with a dog,8
A small boy is playing with a dog,8
The small boy is playing with the dog,8
A small boy is scolding a dog,7
A potato peel is falling over a woman,8
The man is slicing some potatoes,6
The man is slicing potatoes,5
The man is not slicing potatoes,6
The man is eating potato slices,6
A potato is being peeled by a woman,8
A man is taking pictures of a lake,8
A man is attentively taking pictures of a lake,9
A man is tearing up the pictures of a lake,10
The picture of a man is being taken near a lake,11
The man is setting up the camera and taking sunset pictures at the beach,14
The man is setting up the camera and takes pictures of the sunset at the beach,16
The man is putting away the camera and walks away from the beach,13
The picture of a camera set up is being taken by a man on the beach at the sunset,19
A woman is unstitching with a machine,7
A woman is sewing with a machine,7
A woman is using a machine made for sewing,9
A woman is using a sewing machine,7
There is no woman using a sewing machine,8
An egg is being cracked into a bowl by a woman,11
A woman is cracking an egg into a bowl,9
There is no woman cracking an egg into a bowl,10
A woman is placing a bowl with a crack near an egg,12
The woman is cracking two eggs into a bowl made of glass,12
The woman is cracking two eggs into a glass bowl,10
The woman is not cracking two eggs into a glass bowl,11
A few men are cheerfully playing cricket,7
A few men are playing cricket,6
A few men are watching cricket,6
People are playing cricket,4
Some people are playing cricket,5
People are not playing cricket,5
A man is putting garlic on some slices of bread,10
A man is putting garlic on some bread slices,9
A man is removing the garlic from some slices of bread,11
A man is slicing some garlic and putting away the bread,11
A man is sprinkling seasoning on several sliced and buttered loaves of bread,13
A person is sprinkling seasoning on several sliced and buttered loaves of bread,13
There is no man sprinkling seasoning on several sliced and buttered loaves of bread,14
Two kids are playing in a swimming pool with a green colored crocodile float,14
Two kids are playing in a swimming pool with a crocodile float that is green,15
Two kids are taking out a green colored crocodile float from a swimming pool,14
Two crocodiles are floating in a green colored swimming pool near some playing kids,14
An inflatable crocodile is being pushed by two kids in a pool,12
Two kids are pushing an inflatable crocodile in a pool,10
Two kids are pulling an inflatable crocodile out of a pool,11
Two kids are pushing past a crocodile in an inflatable pool,11
Someone is falling off the horse,6
Someone is falling off a horse,6
Someone is on a horse,5
A horse is falling on someone,6
The man is abruptly knocked off of a horse,9
The man is being knocked off of a horse,9
The man is not knocked off of a horse,9
A woman is tapping her fingers nervously,7
A woman is tapping her fingers,6
There is no woman tapping her fingers,7
A woman is tapping her fingers on a desk,9
A woman is tapping her fingers on a table,9
A woman is resting her fingers on a table,9
A dog is pushing a toddler into a rain puddle,10
A dog is pushing a toddler into a puddle of rain,11
A dog is pulling a toddler out of a rain puddle,11
The dog is knocking a boy into the water,9
A boy is being knocked into the water by the dog,11
The dog is not knocking the boy into the water,10
A boy is knocking a dog with a bottle of water,11
A man is hungrily eating a bowl of cereal,9
A man is eating a bowl of cereal,8
There is no man eating a bowl of cereal,9
Cereal is being eaten by the man,7
The man is eating cereal,5
There is no man eating cereal,6
A man is strumming the guitar,6
A man is packing away the guitar,7
The man is playing the flute,6
The person is playing the flute,6
The man in not playing the flute,7
There is no woman adding spices to some meat,9
A woman is adding spices to some meat,8
The woman is adding sugar to the meat slowly,9
The woman is adding sugar to the meat,8
The woman is not adding sugar to the meat,9
A dog is biting a can,6
A can is being bitten by a dog,8
A dog is dropping a can,6
A dog is opening a can of food,8
A dog is opening a jar of food,8
A dog is closing a can of food,8
A cat is playing with a watermelon,7
One cat is playing with a watermelon,7
There is no cat playing with a watermelon,8
The cat is playing passionately with a watermelon,8
The cat is playing with a watermelon,7
The cat isn't playing with a watermelon,7
The boy is playing a guitar,6
A boy is playing a guitar,6
There is no boy playing a guitar,7
A teenager is playing the guitar,6
A kid is playing a guitar,6
A kid is putting the guitar away,7
A woman is wakeboarding on a lake,7
One woman is wakeboarding on the lake,7
A woman is watching the lake,6
The woman is waterskiing fearlessly,5
The woman is waterskiing,4
The woman is not waterskiing,5
Someone is banging the lens of a camera against a nail,11
Someone is banging a camera lens against a nail,9
There is no one banging a camera lens against a nail,11
Someone is nailing a camera lens with loud bangs,9
A camera is being hammered onto the nail by the man,11
The man is hammering a nail with a camera,9
The man is not hammering a nail with a camera,10
The camera man is nailing a hammer to the wall,10
A person is slicing an onion,6
A person is cutting an onion,6
A person near an onion has a cut,8
One person is cutting an onion,6
There is no person cutting an onion,7
A person is eating a cut onion,7
A person is wrapping up an onion,7
The oriental lady is cutting a carrot into thin pieces,10
The oriental lady is cutting a carrot into pieces that are thin,12
The oriental lady is not cutting a carrot into thin pieces,11
A thin lady is piecing together oriental carrot cuts,9
A man is pouring a plate of shredded cheese into a pot of sauce,14
A man is pouring a plate of cheese which is shredded into a pot of sauce,16
A man is taking a plate of shredded cheese off of a pot of sauce,15
A man is pouring a pot of cheese sauce into a shredded plate,13
The woman is adding cheese to the sauce,8
The lady is adding cheese to the sauce,8
The woman is removing cheese from the sauce,8
Some cameras are being burned by a person with a blow torch,12
A person is burning some cameras with a blow torch,10
A person is repairing some cameras with a blow torch,10
A person by some cameras is blowing on a burning torch,11
The tall person is setting fire to the cameras,9
The person is setting fire to the cameras,8
There is no person setting fire to the cameras,9
One man is playing the guitar,6
The man is playing an acoustic guitar,7
The man is playing a guitar which is acoustic,9
The man isn't playing an acoustic guitar,7
A person is cutting an onion into pieces,8
A person is dicing an onion,6
A person is piecing together an onion,7
A person is slicing a carrot into pieces,8
A carrot is being sliced into pieces by a person,10
There is no person slicing a carrot into pieces,9
The man is slicing a potato,6
The person is carefully slicing a potato,7
The man is wrapping a potato,6
The man is cooking slices of potato,7
The man is slicing the potato,6
The person is slicing the potato,6
The man is not slicing the potato,7
Somebody is cutting a tomato,5
Someone is cutting a tomato,5
There is no one cutting a tomato,7
The lady is slicing a tomato,6
The woman is slicing a tomato,6
The woman is holding a whole tomato,7
A man is preparing some dish,6
A man is preparing a dish,6
A man is cleaning a dish,6
The woman is slicing an onion with a knife,9
An onion is being sliced with a knife by the woman,11
The woman is not slicing an onion with a knife,10
Some runners are competing in a race,7
Runners are competing in a race,6
Runners are not taking part in the race,8
Runners are racing in a competition,6
The runners are racing impetuously around a track,8
The runners are racing around a track,7
The runners are not racing around a track,8
A man is racing,4
A man is running,4
A man is standing still,5
A man is running down the road,7
One man is running down the road,7
There is no man running down the road,8
The keyboard is being played with his nose by a man,11
A man is playing the keyboard with his nose,9
A man is idling,4
A man at the keyboard is playing with his nose,10
The man is funnily playing the piano with his nose,10
The man is playing the piano with his nose,9
There is no man playing the piano with his nose,10
A baby rhino is following an adult rhino,8
A rhino which is little is following an adult rhino,10
A baby rhino is shunning an adult rhino,8
A baby and an adult are being followed by a rhino,11
A rhino which is a youngling is walking around a pen with its mother,14
A baby rhino is walking around a pen with its mother,11
A baby rhino and its mother are standing in a pen,11
A mother is giving the baby a pen with a walking rhino on it,14
A man is riding a motorcycle,6
A man is getting off the motorcycle,7
A man is dangerously riding a motorcycle through a town,10
A man is riding a motorcycle through the town,9
There is no man riding a motorcycle through the town,10
A group of people is singing,6
A few people are singing,5
A group of people is silent,6
Some people are singing,4
Some persons are singing,4
Some people are silent,4
A man is playing a trumpet brightly,7
A man is playing a trumpet,6
A man is putting a trumpet away,7
The man is playing a guitar,6
A guitar is being played by the man,8
The man is not playing a guitar,7
One man is dancing,4
A man is motionless,4
A man is speaking,4
A man is silent,4
A man is carefully climbing a rope,7
A man is climbing a rope,6
A man is untying a rope,6
A man is being roped before a climb,8
One panda is climbing,4
A panda is climbing,4
There is no panda climbing,5
A woman is dancing beautifully in a cage,8
A woman is dancing in a cage,7
There is no woman dancing in a cage,8
A woman is being caged for the dance,8
The woman is dancing,4
The lady is dancing,4
The woman is not dancing,5
Four people are floating on a raft,7
A few people are floating on a raft,8
Nobody is floating on a raft,6
People are riding and paddling a raft,7
Some persons are riding and paddling a raft,8
People are not riding and paddling a raft,8
People are paddling near a raft that is being ridden,10
A cat is eagerly eating corn on the cob,9
A cat is eating corn on the cob,8
There is no cat eating corn on the cob,9
A cat is eating some corn,6
The cat is eating some corn,6
A cat is walking away from some corn,8
Someone is slicing a tomato,5
Nobody is slicing a tomato,5
The person is quickly slicing a vegetable,7
The person is slicing a vegetable,6
The person isn't slicing a vegetable,6
A little girl is playing a grand piano on stage,10
A little girl is playing a piano which is very big on stage,13
There is no little girl playing a grand piano on stage,11
A girl who is little is playing the piano,9
A little girl is playing the piano,7
There is no little girl playing the piano,8
A man is packing a guitar,6
Someone is strumming the guitar,5
Someone is playing the guitar,5
Someone is putting the guitar away,6
The man is dancing frantically,5
The man is dancing,4
The man is not dancing,5
Three women are dancing,4
A few women are dancing,5
Three women are standing still,5
A man is playing a flute made of bamboo,9
A man is playing a bamboo flute,7
There is no man playing a bamboo flute,8
The man is playing a flute,6
A flute is being played by the man,8
The man is not playing a flute,7
A person is absently cutting mushrooms with a knife,9
A person is cutting mushrooms with a knife,8
A person is putting away the mushrooms,7
A person is slicing some mushrooms,6
A person is cutting some mushrooms,6
There is no person cutting some mushrooms,7
A tiger is pacing around a cage,7
A tiger is walking around a cage,7
A tiger is walking outside a cage,7
A tiger is walking around with no aim,8
A tiger is walking around aimlessly,6
A tiger is sitting,4
A tiger is aimlessly walking around,6
A monkey is brushing the dog,6
The monkey is brushing the dog,6
There is no monkey brushing the dog,7
A bull dog is being brushed by the monkey,9
The monkey is brushing a bull dog,7
The monkey is not brushing a bull dog,8
A bull dog is brushing the monkey,7
A woman is swiftly cutting an onion,7
The lady is dicing onions,5
The woman is dicing onions,5
The woman is throwing onions away,6
A man is wearing a hard hat and dancing,9
A man is wearing a hat which is hard and is dancing,12
A man is naked and standing still,7
A man is dancing with a worn hard hat,9
A man with a hard hat is dancing,8
The man with a hard hat is dancing,8
There is no man with a hard hat dancing,9
Two boys are playing a video game,7
A couple of boys are playing a video game,9
Two boys are studying,4
Two boys on a couch are playing games on the TV,11
Two boys on a couch are playing video games,9
Two boys on a couch are reading a book,9
Video games of two playing boys are on a couch,10
A woman is cutting a potato,6
The man is slicing vegetables,5
Vegetables are being sliced by a man,7
The man is not slicing vegetables,6
The lady is breaking an egg for the mixer,9
The lady is cracking an egg for the mixer,9
The lady isn't cracking an egg for the mixer,9
The lady is carefully slicing up the meat,8
The lady is slicing up the meat,7
The lady isn't slicing up the meat,7
The lady is eating slices of meat,7
Some ferrets are climbing down from a shelf,8
Ferrets are climbing down from a shelf,7
Ferrets are climbing up a shelf,6
A few ferrets are climbing out of the cage,9
Several ferrets are climbing out of the cage,8
Several ferrets are climbing into the cage,7
A man is getting into an automobile,7
A man is getting into a car,7
A man is getting off the car,7
A man is hurriedly getting into a car in a garage,11
A man is getting into a car in a garage,10
A man is parking a car in a garage,9
A man is getting a garage for the car,9
A person is cutting a capsicum into pieces,8
A capsicum is being cut into pieces by a person,10
Nobody is cutting a capsicum into pieces,7
One person is slicing a clove of garlic into pieces,10
The person is slicing a clove of garlic into pieces,10
The person is not slicing a clove of garlic into pieces,11
A man is performing with the guitar,7
A man is putting away the guitar,7
The man is gracefully singing and playing the guitar,9
The man is singing and playing the guitar,8
The person is boiling noodles,5
A person is boiling noodles,5
There is no person boiling noodles,6
Noodles are being boiled in water by a woman,9
A woman is boiling noodles in water,7
A woman is drying noodles,5
A karate practitioner is kicking at another man who is wearing protective boxing gloves,14
A karate practitioner is kicking at another man who is wearing protective gloves for boxing,15
There is no karate practitioner kicking at another man who is wearing protective boxing gloves,15
The man is clumsily kick boxing with a trainer,9
The man is kick boxing with a trainer,8
The man is not kick boxing with a trainer,9
The man is kicking a boxing trainer,7
A woman who is seated is singing a song and playing the guitar,13
A seated woman is singing a song and playing the guitar,11
There is no seated woman singing a song and playing the guitar,12
A woman on a boulder is lying on a blanket and reading a book,14
A woman on a rock is lying on a blanket and reading a book,14
A woman on a rock is standing and looking around,10
A woman is rocking over a blanket lying on someone reading a book,13
A man is playing an acoustic guitar,7
A man is playing a guitar that is acoustic,9
A man is packing away an acoustic guitar,8
The woman is playing a guitar which is electric,9
The woman is playing an electric guitar,7
The woman is not playing an electric guitar,8
The lady is breaking eggs that are raw into a bowl,11
The lady is breaking raw eggs into a bowl,9
The lady isn't breaking raw eggs into a bowl,9
The woman is cracking eggs into a bowl,8
Eggs are being cracked into a bowl by the woman,10
The woman is storing away the eggs,7
A soccer player is scoring a goal,7
A player of soccer is scoring a goal,8
A soccer player is missing a goal,7
Some people who play soccer are kicking a soccer ball into the goal,13
Soccer players are kicking a soccer ball into the goal,10
There are no soccer players kicking a soccer ball into the goal,12
A man and a woman are eating happily,8
A man and a woman are eating,7
A man and a woman are not eating,8
A man and woman are talking,6
A man and a woman are having a conversation,9
A man and a woman are silent,7
A person is pouring oil made with olives into a pot on the stove,14
A person is pouring olive oil into a pot on the stove,12
There is no person pouring olive oil into a pot on the stove,13
A person is pouring olive oil into the stove from a pot,12
A person is pouring oil for cooking into a pot,10
A person is pouring cooking oil into a pot,9
A person is cleaning a pot of cooking oil,9
A woman is walking the dog down the street,9
The woman is walking the dog down the street ,10
A woman is restraining the dog,6
The woman is walking the dog,6
The dog is being walked by the woman,8
The woman is not walking the dog,7
A guinea pig is devouring a carrot,7
A guinea pig is eating a carrot,7
There is no guinea pig eating a carrot,8
A guinea pig which is small is gnawing and eating a piece of carrot on the floor,17
A small guinea pig is gnawing and eating a piece of carrot on the floor,15
There is no small guinea pig gnawing and eating a piece of carrot on the floor,16
A man is confidently slicing a carrot with a knife,10
A man is slicing a carrot with a knife,9
A man is putting away a carrot,7
The woman is slicing an onion,6
An onion is being sliced by the woman,8
The woman is not slicing an onion,7
The plane is landing,4
A plane is landing,4
A plane is taking off,5
A cartoon airplane is landing,5
An animated airplane is landing,5
An animated airplane is taking off,6
A woman is cooking an egg in a skillet,9
A woman is preparing an egg in a skillet,9
There is no woman preparing an egg in a skillet,10
A woman is preparing a skillet for the eggs,9
A woman is carefully pouring a mixture into a bowl and mixing it,13
A woman is pouring a mixture into a bowl and mixing it,12
A woman is taking a mixture out of a bowl,10
The girl is using an eye pencil on her eyelid,10
The girl is using a pencil for the eyes on her eyelid,12
The girl is not using an eye pencil on her eyelid,11
The lady is penciling on eyeshadow,6
The woman is penciling on eyeshadow,6
The woman is not penciling on eyeshadow,7
A girl is practicing the piano,6
A girl is playing the piano,6
There is no girl playing the piano,7
A girl who is little is playing a grand piano on stage,12
A little girl is walking off the stage,8
The woman is cooking eggs,5
A woman is cooking eggs,5
There is no woman cooking eggs,6
The woman is lovingly cooking something,6
The woman is cooking something,5
The woman is not cooking something,6
Some cats are playing with each other,7
The cats are playing with each other,7
The cats are not playing with each other,8
Two cats are playfully fighting each other,7
Two cats are fighting each other,6
Two cats are lying together,5
Two bikes are being ridden by two people,8
Two people are riding a bike,6
Nobody is riding a bike,5
Two people are riding a motorcycle,6
Two people are driving a motorcycle,6
Two people are stopping on a motorcycle,7
A man is riding a mechanical bull,7
A person is riding a mechanical bull,7
There is no man riding a mechanical bull,8
The man is riding a mechanical bull,7
The man is riding a bull which is mechanical,9
The man is not riding a mechanical bull,8
A woman is skillfully playing a flute,7
A woman is playing a flute,6
A woman is putting down a flute,7
The woman is playing the flute,6
The flute is being played by the woman,8
