Cases that JIGSAW cannot find in PWN
# A Seadoo is being ridden by a woman . 
2	Seadoo	Seadoo	_	NNP	Number=Sing	5	nsubjpass	5:nsubjpass	U
13	rider	rider	_	NN	Number=Sing	9	nmod	9:nmod:of	U

# The biker is riding along the top of a fence . 
3	is	be	_	VBZ	Person=3|Tense=Pres	4	aux	4:aux	U
4	riding	ride	_	VBG	_	0	root	_	U
7	top	top	_	NN	Number=Sing	4	nmod	4:nmod:along	U
10	fence	fence	_	NN	Number=Sing	7	nmod	7:nmod:of	U

# The black and white dog is jumping for the ball . 
6	is	be	_	VBZ	Person=3|Tense=Pres	7	aux	7:aux	U
7	jumping	jump	_	VBG	_	0	root	_	U
10	ball	ball	_	NN	Number=Sing	7	nmod	7:nmod:for	U

# The black and white dog is running and a person stands behind it . 
6	is	be	_	VBZ	Person=3|Tense=Pres	7	aux	7:aux	U
7	running	run	_	VBG	_	0	root	_	U
10	person	person	_	NN	Number=Sing	11	nsubj	11:nsubj	U
11	stands	stand	_	VBZ	Person=3|Tense=Pres	7	conj	7:conj:and	U

# The black and white dog is running in a field . 
6	is	be	_	VBZ	Person=3|Tense=Pres	7	aux	7:aux	U
7	running	run	_	VBG	_	0	root	_	U
10	field	field	_	NN	Number=Sing	7	nmod	7:nmod:in	U

# The black and white dog is running in a green yard . 
6	is	be	_	VBZ	Person=3|Tense=Pres	7	aux	7:aux	U
7	running	run	_	VBG	_	0	root	_	U
10	green	green	_	JJ	_	11	amod	11:amod	U
11	yard	yard	_	NN	Number=Sing	7	nmod	7:nmod:in	U

# The black and white dog is running indoors . 
6	is	be	_	VBZ	Person=3|Tense=Pres	7	aux	7:aux	U
7	running	run	_	VBG	_	0	root	_	U

# The black and white dog is running outdoors . 
7	running	run	_	VBG	_	0	root	_	U
8	outdoors	outdoors	_	RB	_	7	advmod	7:advmod	U

# The black and white dog is sitting on a green yard . 
6	is	be	_	VBZ	Person=3|Tense=Pres	7	aux	7:aux	U
7	sitting	sit	_	VBG	_	0	root	_	U
10	green	green	_	JJ	_	11	amod	11:amod	U
11	yard	yard	_	NN	Number=Sing	7	nmod	7:nmod:on	U

# The black and white dog is n't running and there is no person standing behind . 
4	white	white	_	JJ	_	2	conj	2:conj:and|5:amod	U
6	is	be	_	VBZ	Person=3|Tense=Pres	8	aux	8:aux	U
13	person	person	_	NN	Number=Sing	11	nsubj	11:nsubj	U
14	standing	stand	_	VBG	_	13	acl	13:acl	U

# The black bird is not sitting in a leafless tree . 
4	is	be	_	VBZ	Person=3|Tense=Pres	6	aux	6:aux	U
9	leafless	leafless	_	JJ	_	10	amod	10:amod	U

# The black bird is sitting comfortably in a leafless tree . 
4	is	be	_	VBZ	Person=3|Tense=Pres	5	aux	5:aux	U
5	sitting	sit	_	VBG	_	0	root	_	U
9	leafless	leafless	_	JJ	_	10	amod	10:amod	U

# The black bird is sitting in a leafless tree . 
3	bird	bird	_	NN	Number=Sing	5	nsubj	5:nsubj	U
4	is	be	_	VBZ	Person=3|Tense=Pres	5	aux	5:aux	U
8	leafless	leafless	_	JJ	_	9	amod	9:amod	U

# The black bird with a yellow beak is standing in the green grass . 
2	black	black	_	JJ	_	3	amod	3:amod	U
7	beak	beak	_	NN	Number=Sing	3	nmod	3:nmod:with	U
8	is	be	_	VBZ	Person=3|Tense=Pres	9	aux	9:aux	U
12	green	green	_	JJ	_	13	amod	13:amod	U

# The black dog is carrying a blue and white ball in its mouth . 
3	dog	dog	_	NN	Number=Sing	5	nsubj	5:nsubj	U
5	carrying	carry	_	VBG	_	0	root	_	U
9	white	white	_	JJ	_	7	conj	7:conj:and|10:amod	U

# The black dog is carrying a blue and white toy in its mouth . 
3	dog	dog	_	NN	Number=Sing	5	nsubj	5:nsubj	U
5	carrying	carry	_	VBG	_	0	root	_	U
9	white	white	_	JJ	_	7	conj	7:conj:and|10:amod	U

# The black dog is climbing on a rock . 
3	dog	dog	_	NN	Number=Sing	5	nsubj	5:nsubj	U
4	is	be	_	VBZ	Person=3|Tense=Pres	5	aux	5:aux	U

# The bunch of men are playing with the mud on a rugby field . 
12	rugby	rugby	_	JJ	_	13	amod	13:amod	U

# The cheerleaders are not parading and are not wearing black , pink and white uniforms . 
5	parading	parade	_	VBG	_	0	root	_	U

# The crowd is watching two cars designed for racing that are leaving the starting line . 
10	that	that	_	DT	_	12	nsubj	12:nsubj	U

# The female wearing pink gloves and a brown jacket is smiling in the snow . 
1	The	the	_	DT	Definite=Def	11	nsubj	11:nsubj	U

# The fish are immobile . 
4	immobile	immobile	_	JJ	_	0	root	_	U

# The furry brown dog is not running through the grassy area . 
2	furry	furry	_	JJ	_	4	amod	4:amod	U

# The furry brown dog is running through the grassy area . 
2	furry	furry	_	JJ	_	4	amod	4:amod	U

# The girl has red hair and eyebrows , several piercings in a ear and a drawing on the back . 
10	piercings	piercing	_	NNS	Number=Plur	3	dobj	3:dobj	U

# The girl has red hair and eyebrows , several piercings in a ear and a tattoo on the back . 
10	piercings	piercing	_	NNS	Number=Plur	3	dobj	3:dobj	U

# The girl has red hair and eyebrows , several piercings in a ear and no tattoo on the back . 
10	piercings	piercing	_	NNS	Number=Plur	3	dobj	3:dobj	U

# The herd of caribous is crossing a road . 
4	caribous	caribous	_	NN	Number=Sing	2	nmod	2:nmod:of	U

# The herd of caribous is crossing a road quickly . 
4	caribous	caribous	_	NN	Number=Sing	2	nmod	2:nmod:of	U

# The herd of caribous is not crossing a road . 
4	caribous	caribous	_	NN	Number=Sing	2	nmod	2:nmod:of	U

# The lady is holding the paintbrush next to the artist 's easel . 
7	next	next	_	JJ	_	4	advmod	12:case	U

# The malnourished looking dog is standing on its hind legs and is preparing to jump . 
1	The	the	_	DT	Definite=Def	6	nsubj	6:nsubj|13:nsubj|15:nsubj:xsubj	U

# The man is doing a wheelie on a mountain bike . 
6	wheelie	wheelie	_	NN	Number=Sing	4	dobj	4:dobj	U

# The man is doing a wheelie with a motorbike in a field which is mostly barren . 
6	wheelie	wheelie	_	NN	Number=Sing	4	dobj	4:dobj	U

# The man is doing a wheelie with a motorcycle on ground which is mostly barren . 
6	wheelie	wheelie	_	NN	Number=Sing	4	dobj	4:dobj	U

# The man is not adding seasoning to the/some water in a bowl . 
8	the/some	the/some	_	JJ	_	9	amod	9:amod	U

# The man is not doing a wheelie on a mountain bike . 
7	wheelie	wheelie	_	NN	Number=Sing	5	dobj	5:dobj	U

# The man is on ground which is mostly barren , filming a wheelie done with a motorcycle . 
13	wheelie	wheelie	_	NN	Number=Sing	11	dobj	11:dobj	U

# The man is playing a harp . 
6	harp	harp	_	NN	Number=Sing	4	dobj	4:dobj	U

# The man is wearing a wetsuit and is riding a surfboard . 
6	wetsuit	wetsuit	_	NN	Number=Sing	4	dobj	4:dobj	U

# The mountain gear is steadily placed in front of the standing biker . 
12	biker	biker	_	NN	Number=Sing	8	nmod	6:nmod:in_front_of	U

# The panda is eating bamboo . 
5	bamboo	bamboo	_	NN	Number=Sing	4	dobj	4:dobj	U

# The panda is not eating bamboo . 
6	bamboo	bamboo	_	NN	Number=Sing	5	dobj	5:dobj	U

# The person is riding a jetski in the waves . 
6	jetski	jetski	_	NN	Number=Sing	4	dobj	4:dobj	U

# The person is wearing a wetsuit and is riding a surfboard . 
6	wetsuit	wetsuit	_	NN	Number=Sing	4	dobj	4:dobj	U

# The piano is n't being played by anyone . 
8	anyone	anyone	_	NN	Number=Sing	6	nmod	6:nmod:agent	U

# The shirtless man in striped shorts and sunglasses is not standing near a man in a white shirt and sunglasses . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# The shirtless man in striped shorts and sunglasses is standing near a man in a white shirt and sunglasses . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# The shirtless man in striped shorts and sunglasses is standing near a person in a white shirt and sunglasses . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# The smiling boy in winter clothes is waving his mittened hands outside the building in the snow . 
10	mittened	mittened	_	JJ	_	11	amod	11:amod	U

# The teenage girl is wearing beads that are red . 
2	teenage	teenage	_	JJ	_	3	amod	3:amod	U

# The woman is cooking something . 
5	something	something	_	NN	Number=Sing	0	root	_	U

# The woman is frying a breaded pork chop . 
6	breaded	bread	_	VBN	Tense=Past	7	amod	7:amod	U

# The woman is frying a chop of breaded pork . 
8	breaded	bread	_	VBN	Tense=Past	9	amod	9:amod	U

# The woman is holding the paintbrush next to the artist 's easel . 
7	next	next	_	JJ	_	4	advmod	12:case	U

# The woman is lovingly cooking something . 
6	something	something	_	NN	Number=Sing	0	root	_	U

# The woman is not cooking something . 
6	something	something	_	NN	Number=Sing	0	root	_	U

# The woman is not frying a breaded pork chop . 
7	breaded	bread	_	VBN	Tense=Past	8	amod	8:amod	U

# The woman is not waterskiing . 
5	waterskiing	waterskie	_	VBG	_	0	root	_	U

# The woman is waterskiing . 
4	waterskiing	waterskiing	_	NN	Number=Sing	0	root	_	U

# The woman is waterskiing fearlessly . 
4	waterskiing	waterskie	_	VBG	_	0	root	_	U

# The woman wearing silver pants , pink bellbottoms and a pink scarf is happily riding a bike . 
8	bellbottoms	bellbottom	_	NNS	Number=Plur	2	appos	2:appos	U

# The woman wearing silver pants , pink bellbottoms and a pink scarf is riding a bike . 
8	bellbottoms	bellbottom	_	NNS	Number=Plur	2	appos	2:appos	U

# The woman wearing silver pants , pink bellbottoms and a pink scarf is n't riding a bike . 
8	bellbottoms	bellbottom	_	NNS	Number=Plur	2	appos	2:appos	U

# The woman wearing the blue and white uniform with a white and blue hat is keeping her mouth open and is near others who are dressed in the same fashion . 
23	others	other	_	NNS	Number=Plur	16	conj	16:conj:and|26:nsubjpass	U

# The women are divinely dancing outside . 
4	divinely	divinely	_	RB	_	5	advmod	5:advmod	U

# There are no boys kneeling next to each other in front of a ball . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no children playing and waiting . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no children playing on a statue . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no dogs fighting for a frisbee in a lake . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no dogs of different breeds looking at each other across a street . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no dogs playing in the snow . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no football players in red and white jumping and hugging each other . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no kids jumping on a trampoline . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no little boys playing outside with a soccer ball on the green grass . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no men fighting . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no men sawing . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no men sitting at the table with four beer bottles . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no mimes performing . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no people driving ATVs . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no people flipping the tires of a tractor . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no racers running down a track . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no soccer players kicking a soccer ball into the goal . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no white dogs running and jumping along a beach . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are no women wearing bikinis on the sandy beach . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There are n't many people in the ice skating park . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is a guy cheerfully playing with a footbag . 
1	There	there	_	EX	_	2	expl	2:expl	U
9	footbag	footbag	_	NN	Number=Sing	6	nmod	6:nmod:with	U

# There is no Asian woman holding a fur scarf . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no adult in the amphitheater talking to a boy . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no airplane taking off . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no baby being put into a trash can by a woman . 
1	There	there	_	EX	_	2	expl	2:expl	U
10	can	can	_	MD	_	6	dep	6:dep	U

# There is no baby playing with a dog . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no baby talking . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no baby tiger playing with a ball . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no badger shrewdly digging the earth . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no band playing . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no basketball player on the court floor and no one is grabbing the ball . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no bicyclist jumping on a pyramid-shaped ramp . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no biker jumping in the air . 
1	There	there	_	EX	_	2	expl	2:expl	U
4	biker	biker	_	NN	Number=Sing	2	nsubj	2:nsubj	U

# There is no black and white dog jumping for a ball . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no black dog with a red collar putting its face in the water . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no black , red , white and pink dress being worn by a woman . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no blond child holding a yellow bottle . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no blonde lady looking at a tower . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no bmx biker jumping dirt ramps in front of a body of water . 
1	There	there	_	EX	_	2	expl	2:expl	U
5	biker	biker	_	NN	Number=Sing	2	nsubj	2:nsubj	U

# There is no boy checking a calendar . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no boy cutting grass with scissors . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no boy filling a pitcher with water . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no boy hanging a fishing rod and running in front of a fish . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no boy in a swimsuit sitting on top of a circular fountain . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no boy in a white t-shirt splashing in shallow water . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no boy looking at a calendar . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no boy playing a guitar . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no boy playing a keyboard . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no boy playing a piano . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no boy playing guitar . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no boy playing outdoors and there is no man smiling . 
1	There	there	_	EX	_	2	expl	2:expl	U
8	there	there	_	EX	_	9	expl	9:expl	U

# There is no boy standing in front of the blue building in the space reserved for handicapped people . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no boy walking across a bridge . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no boy wearing red shorts jumping into a paddling pool . 
1	There	there	_	EX	_	2	expl	2:expl	U
11	paddling	paddle	_	VBG	_	12	amod	12:amod	U

# There is no brown dog and black dog playing in the sand . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no brown dog jumping in the air . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no brown dog running across the yard with a toy in its mouth . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no brown dog running through tall green grass . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no brown dog standing in the water . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no brown dog staring attentively at a brown and white dog . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no brown duck with a green head flapping its wings in the water . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no bunny playing with a stuffed bunny . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no butter being added to the stand mixer . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no cat eating corn on the cob . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no cat hungrily drinking milk . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no cat playing a keyboard . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no cat playing keyboards . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no cat playing with a device . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no cat playing with a watermelon . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no cat sliding upside down under a couch . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no cat swinging on a fan . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no cat walking on a hardwood floor . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no cheetah quickly running behind its prey . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no chef preparing a meal . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no child hanging on a large branch . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no child holding a camera in front of his face . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no child holding a squirt gun . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no child holding a water gun or getting sprayed with water . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no child in a red outfit jumping on a trampoline . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no child lying in the snow and making snow angels . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no child playing with a water spout outdoors with the rest of his family watching . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no child sitting in a red and yellow toy car . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no child waking up . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no classroom full of students looking in the same direction inside a bamboo structure . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no clown singing . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no clown singing and people are not dancing . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no cold cyclist celebrating . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no cook slicing some bell peppers . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no couple running towards the ocean . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no cyclist on a yellow bike airborne . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no cyclist performing a jump on a bicycle . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no deer jumping fences . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog barking . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog barking at a ball . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog bouncing on a trampoline . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog catching a ball . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog chasing a ball . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog chasing a ball in the grass . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog chasing another or holding a stick in its mouth . 
1	There	there	_	EX	_	2	expl	2:expl	U
6	another	another	_	DT	_	5	dobj	5:dobj	U

# There is no dog crossing a river on a bridge made from a fallen tree . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog eating a doll . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog excitedly playing with water in the grass . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog in a colored coat running across the yard . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog joyfully running on the grass . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog jumping at a shiny blue soccer ball in a field of dry leaves . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog jumping for a Frisbee in the snow . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog leaping in the air . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog leaping through snowy grass and rocks . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog licking a baby . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog looking around . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog playing in a field of brown grass . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog playing with a red ball . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog playing with a toy . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog racing on a track . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog riding a skateboard . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog rolling from side to side . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog running and carrying an object in its mouth . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog running in the grass . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog running on the beach . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog running on the road . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog running through a field and chasing a ball . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog running up a grassy hill . 
1	There	there	_	EX	_	2	expl	2:expl	U
8	grassy	grassy	_	JJ	_	9	amod	9:amod	U

# There is no dog running with a volleyball . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog standing on one leg and is waiting for a soccer ball . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog standing on the side of a mountain . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog standing with its two front paws on a rock in the field . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog swimming in a lake with sunshine shining on him . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog turning on the grass and pursuing a flying ball . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog walking along a snowdrift . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog which is furry and black in a back yard carrying a basket in its mouth . 
1	There	there	_	EX	_	2	expl	2:expl	U
7	furry	furry	_	JJ	_	4	acl:relcl	4:acl:relcl	U

# There is no dog with a blue blanket running through the grass . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no dog wrestling and hugging . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no family posing by the mantel and the Christmas tree . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no famous singer dancing on the ceiling . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no football player in a purple jersey running with the ball for a touchdown . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl applying makeup to her face . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl brushing her hair . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl communicating with sign language . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl filing her nails . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl in a brown dress being surrounded by children and closing her eyes . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl in blue jumping in the air . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl in pink twirling a ribbon . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl in white dancing . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl jumping into the car . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl laughing and there is no other girl watching . 
1	There	there	_	EX	_	2	expl	2:expl	U
7	there	there	_	EX	_	8	expl	8:expl	U

# There is no girl playing a flute . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl playing the piano . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl playing the violin on a beach . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl riding a horse . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl wearing a t-shirt and keeping her mouth open . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl wearing jeans and a pink shirt and running . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl with a black bag on a crowded train . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no girl with black and orange patches on the cheeks . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no group of people dancing . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no group of people standing together and looking at the camera . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no group of racing dogs wearing striped uniforms and running down a track . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no guinea pig eating a carrot . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no guy leaping into the air in a wooded area . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no guy mowing the lawn . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no hamster singing . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no hiker dancing on top of the mountain . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no hockey player in a yellow jersey guarding the goal . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no horse tossing the cowboy in red and blue pants . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no karate practitioner kicking at another man who is wearing protective boxing gloves . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no kid in orange playing outside with a snowball . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no kid playing guitar . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no kitten drinking milk . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no lady cutting up some meat . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no lady holding the paintbrush next to the artist 's easel . 
1	There	there	_	EX	_	2	expl	2:expl	U
8	next	next	_	JJ	_	5	advmod	13:case	U

# There is no lady mixing a meat mixture in a bowl . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no lady peeling the potato . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no lady walking in body paint in front of a crowd . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no large brown dog and small grey dog standing on a rocky surface . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no large dog running on the grass with a tennis ball in its mouth . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no large group of cheerleaders walking in a parade . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no lemur eating . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no lemur hanging on a cord . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no light brown dog running up a street . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no lion pacing tiredly in a pen . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no lion walking . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no little black dog chasing a little brown dog . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no little boy running on the ground and playing with a little girl . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no little boy wearing a green soccer strip and running on the grass . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no little boy with brown hair jumping off of a brown chair onto the floor . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no little girl peddling a scooter . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no little girl playing a grand piano on stage . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no little girl playing the piano . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no little girl with blond hair smiling and sitting on a swing . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no little kid playing football and falling into the grass . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no man and child kayaking through gentle waters . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no man being hit . 
1	There	there	_	EX	_	2	expl	2:expl	U

# There is no man breaking a slab of concrete with a sledge hammer . 
1	There	there	_	EX	_	2	expl	2:expl	U

